node1_external_id	node2_external_id	combined_score
9606.ENSP00000361603	9606.ENSP00000481762	0.336
9606.ENSP00000361603	9606.ENSP00000364649	0.28800000000000003
9606.ENSP00000416508	9606.ENSP00000387286	0.259
9606.ENSP00000416508	9606.ENSP00000356790	0.385
9606.ENSP00000416508	9606.ENSP00000273398	0.322
9606.ENSP00000416508	9606.ENSP00000421326	0.34700000000000003
9606.ENSP00000416508	9606.ENSP00000387170	0.319
9606.ENSP00000416508	9606.ENSP00000335193	0.255
9606.ENSP00000392896	9606.ENSP00000348886	0.654
9606.ENSP00000392896	9606.ENSP00000306362	0.366
9606.ENSP00000392896	9606.ENSP00000312066	0.28400000000000003
9606.ENSP00000392896	9606.ENSP00000342181	0.262
9606.ENSP00000392896	9606.ENSP00000451818	0.266
9606.ENSP00000392896	9606.ENSP00000424870	0.384
9606.ENSP00000322524	9606.ENSP00000368349	0.668
9606.ENSP00000322524	9606.ENSP00000265465	0.6980000000000001
9606.ENSP00000322524	9606.ENSP00000352516	0.34600000000000003
9606.ENSP00000322524	9606.ENSP00000350491	0.709
9606.ENSP00000322524	9606.ENSP00000484105	0.658
9606.ENSP00000276689	9606.ENSP00000348886	0.404
9606.ENSP00000276689	9606.ENSP00000249269	0.398
9606.ENSP00000276689	9606.ENSP00000360782	0.279
9606.ENSP00000276689	9606.ENSP00000270517	0.926
9606.ENSP00000276689	9606.ENSP00000356972	0.999
9606.ENSP00000276689	9606.ENSP00000263774	0.999
9606.ENSP00000276689	9606.ENSP00000300688	0.8210000000000001
9606.ENSP00000276689	9606.ENSP00000296597	0.934
9606.ENSP00000276689	9606.ENSP00000359871	0.258
9606.ENSP00000276689	9606.ENSP00000345341	0.322
9606.ENSP00000276689	9606.ENSP00000382342	0.388
9606.ENSP00000276689	9606.ENSP00000264954	0.598
9606.ENSP00000276689	9606.ENSP00000312618	0.931
9606.ENSP00000276689	9606.ENSP00000260361	0.9470000000000001
9606.ENSP00000276689	9606.ENSP00000478121	0.297
9606.ENSP00000276689	9606.ENSP00000299697	0.425
9606.ENSP00000276689	9606.ENSP00000387286	0.363
9606.ENSP00000276689	9606.ENSP00000417142	0.999
9606.ENSP00000276689	9606.ENSP00000428895	0.9540000000000001
9606.ENSP00000276689	9606.ENSP00000419970	0.4
9606.ENSP00000276689	9606.ENSP00000309591	0.608
9606.ENSP00000276689	9606.ENSP00000364649	0.84
9606.ENSP00000276689	9606.ENSP00000452762	0.373
9606.ENSP00000276689	9606.ENSP00000257245	0.253
9606.ENSP00000276689	9606.ENSP00000306003	0.915
9606.ENSP00000372005	9606.ENSP00000249269	0.924
9606.ENSP00000372005	9606.ENSP00000360782	0.911
9606.ENSP00000372005	9606.ENSP00000438455	0.448
9606.ENSP00000372005	9606.ENSP00000263774	0.327
9606.ENSP00000372005	9606.ENSP00000248114	0.5630000000000001
9606.ENSP00000372005	9606.ENSP00000378588	0.722
9606.ENSP00000372005	9606.ENSP00000350170	0.783
9606.ENSP00000372005	9606.ENSP00000264954	0.975
9606.ENSP00000372005	9606.ENSP00000284320	0.751
9606.ENSP00000372005	9606.ENSP00000480150	0.28
