removed_nodes	sizeG_BC
0	19254
1	19253
2	19252
3	19251
4	19250
5	19249
6	19248
7	19247
8	19246
9	19245
10	19244
11	19243
12	19242
13	19241
14	19240
15	19239
16	19238
17	19237
18	19236
19	19235
20	19233
21	19232
22	19230
23	19229
24	19228
25	19227
26	19226
27	19225
28	19224
29	19223
30	19222
31	19221
32	19220
33	19219
34	19218
35	19217
36	19216
37	19215
38	19214
39	19213
40	19212
41	19211
42	19210
43	19209
44	19208
45	19207
46	19206
47	19205
48	19204
49	19203
50	19202
51	19201
52	19200
53	19199
54	19198
55	19197
56	19196
57	19195
58	19194
59	19193
60	19192
61	19191
62	19190
63	19189
64	19188
65	19187
66	19186
67	19185
68	19184
69	19183
70	19182
71	19181
72	19180
73	19179
74	19178
75	19177
76	19176
77	19175
78	19174
79	19173
80	19172
81	19171
82	19170
83	19169
84	19168
85	19167
86	19166
87	19164
88	19163
89	19162
90	19161
91	19160
92	19159
93	19158
94	19157
95	19156
96	19155
97	19154
98	19152
99	19151
100	19150
101	19149
102	19148
103	19147
104	19146
105	19144
106	19143
107	19142
108	19141
109	19140
110	19139
111	19138
112	19137
113	19136
114	19135
115	19134
116	19133
117	19132
118	19131
119	19130
120	19129
121	19128
122	19127
123	19126
124	19125
125	19124
126	19123
127	19122
128	19121
129	19120
130	19119
131	19118
132	19117
133	19116
134	19115
135	19114
136	19113
137	19112
138	19111
139	19110
140	19109
141	19108
142	19107
143	19106
144	19105
145	19104
146	19103
147	19102
148	19101
149	19100
150	19098
151	19097
152	19096
153	19095
154	19094
155	19093
156	19092
157	19091
158	19090
159	19089
160	19088
161	19087
162	19086
163	19085
164	19084
165	19083
166	19082
167	19081
168	19080
169	19079
170	19078
171	19077
172	19076
173	19075
174	19074
175	19073
176	19072
177	19071
178	19070
179	19069
180	19068
181	19067
182	19066
183	19065
184	19064
185	19063
186	19062
187	19061
188	19060
189	19059
190	19058
191	19057
192	19056
193	19055
194	19054
195	19053
196	19052
197	19051
198	19050
199	19049
200	19048
201	19047
202	19046
203	19045
204	19044
205	19043
206	19042
207	19041
208	19040
209	19039
210	19038
211	19037
212	19036
213	19035
214	19034
215	19033
216	19032
217	19031
218	19030
219	19029
220	19028
221	19027
222	19026
223	19025
224	19024
225	19023
226	19022
227	19021
228	19020
229	19019
230	19018
231	19017
232	19016
233	19015
234	19014
235	19013
236	19012
237	19011
238	19010
239	19009
240	19008
241	19007
242	19006
243	19005
244	19004
245	19003
246	19002
247	19001
248	19000
249	18999
250	18998
251	18997
252	18996
253	18995
254	18994
255	18993
256	18992
257	18991
258	18990
259	18989
260	18988
261	18987
262	18986
263	18985
264	18984
265	18983
266	18982
267	18981
268	18980
269	18979
270	18978
271	18976
272	18975
273	18974
274	18973
275	18972
276	18971
277	18970
278	18969
279	18968
280	18967
281	18966
282	18965
283	18964
284	18963
285	18962
286	18961
287	18960
288	18959
289	18958
290	18957
291	18956
292	18955
293	18954
294	18953
295	18952
296	18951
297	18950
298	18949
299	18948
300	18947
301	18946
302	18945
303	18944
304	18943
305	18942
306	18941
307	18940
308	18939
309	18938
310	18937
311	18936
312	18935
313	18934
314	18933
315	18932
316	18931
317	18930
318	18929
319	18928
320	18927
321	18926
322	18925
323	18924
324	18923
325	18922
326	18921
327	18920
328	18919
329	18918
330	18917
331	18916
332	18915
