removed_nodes	sizeG_random
0	19254
1	19253
2	19252
3	19251
4	19250
5	19248
6	19247
7	19246
8	19245
9	19244
10	19243
11	19242
12	19241
13	19240
14	19239
15	19238
16	19237
17	19236
18	19235
19	19234
20	19233
21	19232
22	19231
23	19230
24	19229
25	19228
26	19227
27	19226
28	19225
29	19224
30	19223
31	19222
32	19221
33	19220
34	19219
35	19218
36	19217
37	19216
38	19215
39	19214
40	19213
41	19212
42	19211
43	19210
44	19209
45	19208
46	19207
47	19206
48	19205
49	19204
50	19203
51	19202
52	19201
53	19200
54	19199
55	19198
56	19197
57	19196
58	19195
59	19194
60	19193
61	19192
62	19191
63	19190
64	19189
65	19188
66	19187
67	19186
68	19185
69	19184
70	19183
71	19182
72	19181
73	19180
74	19179
75	19178
76	19177
77	19176
78	19175
79	19174
80	19173
81	19172
82	19171
83	19170
84	19169
85	19168
86	19167
87	19166
88	19165
89	19164
90	19163
91	19162
92	19161
93	19160
94	19159
95	19158
96	19157
97	19156
98	19155
99	19154
100	19153
101	19152
102	19151
103	19150
104	19149
105	19148
106	19147
107	19146
108	19145
109	19144
110	19143
111	19142
112	19141
113	19139
114	19138
115	19137
116	19136
117	19135
118	19134
119	19133
120	19132
121	19131
122	19130
123	19129
124	19128
125	19127
126	19126
127	19125
128	19124
129	19123
130	19122
131	19121
132	19120
133	19119
134	19118
135	19117
136	19116
137	19115
138	19114
139	19113
140	19112
141	19111
142	19110
143	19109
144	19108
145	19107
146	19106
147	19105
148	19104
149	19103
150	19102
151	19100
152	19099
153	19098
154	19097
155	19096
156	19095
157	19094
158	19093
159	19092
160	19091
161	19090
162	19089
163	19088
164	19087
165	19086
166	19085
167	19084
168	19083
169	19082
170	19081
171	19080
172	19079
173	19078
174	19077
175	19076
176	19075
177	19074
178	19073
179	19072
180	19071
181	19070
182	19069
183	19068
184	19067
185	19066
186	19065
187	19064
188	19063
189	19062
190	19061
191	19060
192	19059
193	19058
194	19057
195	19056
196	19055
197	19054
198	19053
199	19052
200	19051
201	19050
202	19049
203	19048
204	19047
205	19046
206	19045
207	19044
208	19043
209	19042
210	19041
211	19040
212	19039
213	19038
214	19037
215	19036
216	19035
217	19034
218	19033
219	19032
220	19031
221	19030
222	19029
223	19028
224	19027
225	19026
226	19025
227	19024
228	19023
229	19022
230	19021
231	19020
232	19019
233	19018
234	19017
235	19016
236	19015
237	19014
238	19013
239	19012
240	19011
241	19010
242	19009
243	19008
244	19007
245	19006
246	19005
247	19004
248	19003
249	19002
250	19001
251	19000
252	18999
253	18998
254	18997
255	18996
256	18995
257	18994
258	18993
259	18992
260	18991
261	18990
262	18989
263	18988
264	18987
265	18986
266	18985
267	18984
268	18983
269	18982
270	18981
271	18980
272	18979
273	18978
274	18977
275	18976
276	18975
277	18974
278	18973
279	18972
280	18971
281	18970
282	18969
283	18968
284	18967
285	18966
286	18965
287	18964
288	18963
289	18962
290	18961
291	18960
292	18959
293	18958
294	18957
295	18956
296	18955
297	18954
298	18953
299	18952
300	18951
301	18950
302	18949
303	18948
304	18947
305	18946
306	18945
307	18944
308	18943
309	18942
310	18941
311	18940
312	18939
313	18938
314	18937
315	18936
316	18935
317	18934
318	18933
319	18932
320	18931
321	18930
322	18929
323	18928
324	18927
325	18926
326	18925
327	18924
328	18923
329	18922
330	18921
331	18920
332	18919
333	18918
