Bait,Preys,Preys_NewName,PreyGene,MIST,BFDR,AvgSpec,FoldChange,Abundance
SARS-CoV2 E,O00203,9606.ENSP00000255194,AP3B1,0.963550095,0.0,4.67,46.67,0.000489286
SARS-CoV2 E,O60885,9606.ENSP00000263377,BRD4,0.97848835,0.0,2.67,26.67,0.000251615
SARS-CoV2 E,P21912,9606.ENSP00000364649,SDHB,0.686283154,0.0,8.67,86.67,0.004102505
SARS-CoV2 E,P25440,9606.ENSP00000378704,BRD2,0.906592876,0.0,7.0,70.0,0.001006269
SARS-CoV2 E,Q6UX04,9606.ENSP00000370460,CWC27,0.89310916,0.03,2.67,26.67,0.000637225
SARS-CoV2 E,Q86VM9,9606.ENSP00000416951,ZC3H18,0.796415039,0.0,2.67,26.67,0.000366112
SARS-CoV2 E,Q8IWA5,9606.ENSP00000336888,SLC44A2,0.950342834,0.0,2.67,26.67,0.000557985
SARS-CoV2 M,O15127,9606.ENSP00000268099,SCAMP2,0.653809879,0.01,2.0,20.0,0.000463554
SARS-CoV2 M,O75439,9606.ENSP00000249269,PMPCB,0.985120198,0.0,9.67,96.67,0.001491594
SARS-CoV2 M,O75915,9606.ENSP00000273258,ARL6IP5,0.638142974,0.03,3.0,30.0,0.00119301
SARS-CoV2 M,O95070,9606.ENSP00000366098,YIF1A,0.856000835,0.0,2.33,23.33,0.000606322
SARS-CoV2 M,O95197,9606.ENSP00000367050,RTN3,0.651711408,0.0,7.0,70.0,0.000518944
SARS-CoV2 M,P05026,9606.ENSP00000356790,ATP1B1,0.817625601,0.0,3.67,36.67,0.000926792
SARS-CoV2 M,P11310,9606.ENSP00000359871,ACADM,0.724348569,0.0,2.67,26.67,0.000477223
SARS-CoV2 M,P13804,9606.ENSP00000452762,ETFA,0.718398295,0.0,2.33,23.33,0.00053349
SARS-CoV2 M,P20020,9606.ENSP00000392043,ATP2B1,0.66909613,0.0,7.33,73.33,0.00045292
SARS-CoV2 M,P27105,9606.ENSP00000286713,STOM,0.752971772,0.0,3.0,30.0,0.000784909
SARS-CoV2 M,P27544,9606.ENSP00000485582,CERS1,0.644910367,0.03,2.67,26.67,0.000571672
SARS-CoV2 M,P38435,9606.ENSP00000233838,GGCX,0.789966998,0.01,2.0,20.0,0.0002012
SARS-CoV2 M,P38606,9606.ENSP00000273398,ATP6V1A,0.794938493,0.05,2.67,26.67,0.000321233
SARS-CoV2 M,P43003,9606.ENSP00000265113,SLC1A3,0.688209246,0.0,3.0,30.0,0.000425335
SARS-CoV2 M,P48556,9606.ENSP00000215071,PSMD8,0.881424779,0.05,2.0,20.0,0.000440792
SARS-CoV2 M,P48651,9606.ENSP00000430548,PTDSS1,0.620919957,0.0,8.67,86.67,0.001409237
SARS-CoV2 M,P55786,9606.ENSP00000320324,NPEPPS,0.60068842,0.01,2.0,20.0,0.000165951
SARS-CoV2 M,P60604,9606.ENSP00000338348,UBE2G2,0.606231051,0.0,4.0,40.0,0.001848597
SARS-CoV2 M,Q00765,9606.ENSP00000368959,REEP5,0.913088507,0.0,10.67,106.67,0.004295715
SARS-CoV2 M,Q10713,9606.ENSP00000360782,PMPCA,0.991059815,0.0,9.33,93.33,0.001344789
SARS-CoV2 M,Q15773,9606.ENSP00000203630,MLF2,0.663122701,0.0,3.0,30.0,0.000922435
SARS-CoV2 M,Q4KMQ2,9606.ENSP00000409126,ANO6,0.993904419,0.0,9.33,93.33,0.000780761
SARS-CoV2 M,Q53HI1,9606.ENSP00000350409,UNC50,0.664013081,0.01,2.0,20.0,0.000588839
SARS-CoV2 M,Q53R41,9606.ENSP00000400513,FASTKD1,0.622957566,0.0,7.33,73.33,0.000651402
SARS-CoV2 M,Q5JRX3,9606.ENSP00000370377,PITRM1,0.952308232,0.0,7.0,70.0,0.000508714
SARS-CoV2 M,Q5SRE5,9606.ENSP00000361658,NUP188,0.619101516,0.0,4.67,46.67,0.000202609
SARS-CoV2 M,Q5T9L3,9606.ENSP00000346829,WLS,0.626982883,0.0,4.0,40.0,0.000555312
SARS-CoV2 M,Q6PML9,9606.ENSP00000264451,SLC30A9,0.886323242,0.05,2.0,20.0,0.000263731
SARS-CoV2 M,Q7L8L6,9606.ENSP00000369618,FASTKD5,0.758365887,0.0,7.33,73.33,0.000729111
SARS-CoV2 M,Q8IXI1,9606.ENSP00000321971,RHOT2,0.689955193,0.0,3.67,36.67,0.000450012
