#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPS20	RPL19	1861789	1843024	9606.ENSP00000429374	9606.ENSP00000225430	0	0	0	0	0.977	0.792	0.900	0.403	0.999
RPL10A	RPL36AL	1856010	1853000	9606.ENSP00000363018	9606.ENSP00000346012	0	0	0	0	0.969	0.834	0.900	0.437	0.999
RPS18	RPL13A	1859702	1857955	9606.ENSP00000393241	9606.ENSP00000375730	0.309	0	0	0	0.958	0.858	0.924	0.377	0.999
RPL26	RPS5	1847444	1842374	9606.ENSP00000293842	9606.ENSP00000196551	0.309	0	0	0	0.961	0.801	0.924	0.356	0.999
RPS29	RPS16	1858354	1844060	9606.ENSP00000379339	9606.ENSP00000251453	0.309	0	0	0	0.974	0.991	0.924	0.413	0.999
RPL23A	RPS7	1859401	1852173	9606.ENSP00000389103	9606.ENSP00000339095	0	0	0	0	0.964	0.881	0.900	0.230	0.999
RPL11	RPL7A	1856140	1855599	9606.ENSP00000363676	9606.ENSP00000361076	0.063	0	0	0	0.971	0.908	0.900	0.285	0.999
RPS29	RPSA	1858354	1853012	9606.ENSP00000379339	9606.ENSP00000346067	0.067	0	0	0	0.960	0.983	0.924	0.440	0.999
RPL34	RPSA	1858216	1853012	9606.ENSP00000378160	9606.ENSP00000346067	0	0	0	0	0.958	0.774	0.900	0.175	0.999
RPL18	RPL21	1862361	1853004	9606.ENSP00000447001	9606.ENSP00000346027	0.048	0	0	0	0.954	0.886	0.900	0.444	0.999
RPL23A	RPS23	1859401	1847772	9606.ENSP00000389103	9606.ENSP00000296674	0.309	0	0	0	0.969	0.895	0.924	0.320	0.999
RPL3	RPS11	1852999	1846167	9606.ENSP00000346001	9606.ENSP00000270625	0.309	0	0	0	0.986	0.851	0.924	0.486	0.999
RPL37A	RPL11	1861343	1856140	9606.ENSP00000418082	9606.ENSP00000363676	0	0	0	0	0.973	0.886	0.900	0.249	0.999
RPL10A	RPL4	1856010	1849420	9606.ENSP00000363018	9606.ENSP00000311430	0.309	0	0	0	0.975	0.946	0.924	0.490	0.999
RPL23	RPL5	1858184	1855221	9606.ENSP00000377865	9606.ENSP00000359345	0.309	0	0	0	0.969	0.978	0.924	0.464	0.999
TTC12	HSP90AB1	1861948	1850780	9606.ENSP00000433757	9606.ENSP00000325875	0	0	0	0	0.952	0.954	0	0.660	0.999
RPL10A	RPLP2	1856010	1850446	9606.ENSP00000363018	9606.ENSP00000322419	0.309	0	0	0	0.972	0.884	0.900	0.242	0.999
RPL14	RPS23	1852902	1847772	9606.ENSP00000345156	9606.ENSP00000296674	0	0	0	0	0.968	0.806	0.900	0.415	0.999
RPS25	RPLP1	1861989	1853006	9606.ENSP00000435096	9606.ENSP00000346037	0	0	0	0	0.966	0.774	0.900	0.184	0.999
RPL31	RPL8	1859193	1845175	9606.ENSP00000386717	9606.ENSP00000262584	0	0	0	0	0.955	0.946	0.900	0.388	0.999
RPL36AL	RPL4	1853000	1849420	9606.ENSP00000346012	9606.ENSP00000311430	0.048	0	0	0	0.956	0.668	0.900	0.482	0.999
RPS25	RPL7A	1861989	1855599	9606.ENSP00000435096	9606.ENSP00000361076	0	0	0	0	0.968	0.935	0.900	0.497	0.999
