#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CHEK1	TP53	1859362	1846083	9606.ENSP00000388648	9606.ENSP00000269305	0	0	0	0	0.094	0.360	0.900	0.918	0.994
Vif	TCEB1	10004808	1846927	11676.VIF_HV1H2	9606.ENSP00000284811	0	0	0	0	0	0.473	0	0.962	0.980
vpr	VPRBP	10004809	1859698	11676.VPR_HV1H2	9606.ENSP00000393183	0	0	0	0	0	0.473	0	0.951	0.973
Vif	TP53	10004808	1846083	11676.VIF_HV1H2	9606.ENSP00000269305	0	0	0	0	0	0.435	0	0.942	0.966
Vif	CDK9	10004808	1855868	11676.VIF_HV1H2	9606.ENSP00000362361	0	0	0	0	0	0.435	0	0.940	0.965
Vif	APOBEC3G	10004808	1859014	11676.VIF_HV1H2	9606.ENSP00000385057	0	0	0	0	0	0.473	0	0.932	0.963
vpr	CHEK1	10004809	1859362	11676.VPR_HV1H2	9606.ENSP00000388648	0	0	0	0	0	0	0	0.955	0.955
vpu	CD4	10004810	1842167	11676.VPU_HV1H2	9606.ENSP00000011653	0	0	0	0	0	0.435	0	0.915	0.950
Vif	PPP2R5D	10004808	1861336	11676.VIF_HV1H2	9606.ENSP00000417963	0	0	0	0	0	0	0	0.947	0.947
F-protein	MLL5	10004789	1844532	11676.NEF_HV1H2	9606.ENSP00000257745	0	0	0	0	0	0	0	0.945	0.946
vpr	PSMD7	10004809	1842741	11676.VPR_HV1H2	9606.ENSP00000219313	0	0	0	0	0	0	0	0.942	0.942
vpr	Vif	10004809	10004808	11676.VPR_HV1H2	11676.VIF_HV1H2	0	0	0	0	0	0.435	0	0.893	0.937
Envelope glycoprotein gp160	CD4	10004805	1842167	11676.PRO_0000239240	9606.ENSP00000011653	0	0	0	0	0	0.435	0	0.875	0.927
CHEK1	CDK9	1859362	1855868	9606.ENSP00000388648	9606.ENSP00000362361	0	0	0.368	0.668	0.093	0	0.900	0.246	0.922
