#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TLR4	LY96	1856025	1846928	9606.ENSP00000363089	9606.ENSP00000284818	0	0	0	0	0.124	0.925	0.900	0.940	0.999
AKT1	INS	1846136	1844030	9606.ENSP00000270202	9606.ENSP00000250971	0	0	0	0	0	0	0.900	0.962	0.996
LY96	TLR2	1846928	1844747	9606.ENSP00000284818	9606.ENSP00000260010	0	0	0	0	0.098	0.597	0.900	0.870	0.994
TLR1	TLR2	1854260	1844747	9606.ENSP00000354932	9606.ENSP00000260010	0	0	0	0.787	0.459	0.875	0.900	0.943	0.994
GP1BA	F2	1851142	1849080	9606.ENSP00000329380	9606.ENSP00000308541	0	0	0	0	0	0.874	0.900	0.512	0.993
GP1BB	GP1BA	1858831	1851142	9606.ENSP00000383382	9606.ENSP00000329380	0	0	0	0	0.054	0.360	0.900	0.886	0.992
GSTA2	GSTA5	1861460	1846914	9606.ENSP00000420168	9606.ENSP00000284562	0	0	0.527	0.987	0.870	0.437	0.900	0.864	0.992
GP1BA	GP9	1851142	1848586	9606.ENSP00000329380	9606.ENSP00000303942	0	0	0	0	0.130	0.360	0.900	0.868	0.991
ACTN2	MYH6	1854402	1853324	9606.ENSP00000355537	9606.ENSP00000348634	0	0	0	0	0.169	0.804	0.900	0.517	0.991
AKT2	PHLPP1	1857974	1845202	9606.ENSP00000375892	9606.ENSP00000262719	0	0	0	0	0.064	0.381	0.900	0.872	0.991
AKT1	PHLPP1	1846136	1845202	9606.ENSP00000270202	9606.ENSP00000262719	0	0	0	0	0.064	0.586	0.900	0.786	0.990
PHLPP2	AKT3	1853322	1845421	9606.ENSP00000348611	9606.ENSP00000263826	0	0	0	0	0.064	0.381	0.900	0.853	0.990
SPTB	SPTA1	1857851	1854747	9606.ENSP00000374372	9606.ENSP00000357130	0	0	0	0.630	0.058	0.866	0.900	0.836	0.990
AKT3	PHLPP1	1845421	1845202	9606.ENSP00000263826	9606.ENSP00000262719	0	0	0	0	0.064	0.381	0.900	0.853	0.990
PHLPP2	AKT1	1853322	1846136	9606.ENSP00000348611	9606.ENSP00000270202	0	0	0	0	0.064	0.586	0.900	0.775	0.990
GP5	GP9	1850134	1848586	9606.ENSP00000319286	9606.ENSP00000303942	0	0	0	0	0.054	0.285	0.900	0.866	0.989
ACTN2	MYH3	1854402	1843076	9606.ENSP00000355537	9606.ENSP00000226209	0	0	0	0	0.169	0.804	0.900	0.414	0.989
MYH8	ACTN2	1858931	1854402	9606.ENSP00000384330	9606.ENSP00000355537	0	0	0	0	0.169	0.804	0.900	0.302	0.987
INS	RPS6KB1	1844030	1843035	9606.ENSP00000250971	9606.ENSP00000225577	0	0	0	0	0	0	0.900	0.882	0.987
STAT1	SOCS3	1854113	1851244	9606.ENSP00000354394	9606.ENSP00000330341	0	0	0	0	0.066	0.138	0.900	0.848	0.986
STAT1	SOCS1	1854113	1851146	9606.ENSP00000354394	9606.ENSP00000329418	0	0	0	0	0.059	0.138	0.900	0.849	0.986
GP1BB	GP5	1858831	1850134	9606.ENSP00000383382	9606.ENSP00000319286	0	0	0	0	0.054	0	0.900	0.862	0.985
GSTA2	GSTA1	1861460	1851878	9606.ENSP00000420168	9606.ENSP00000335620	0	0	0.527	0.989	0.777	0.360	0.900	0.815	0.984
AKT2	PHLPP2	1857974	1853322	9606.ENSP00000375892	9606.ENSP00000348611	0	0	0	0	0.064	0.381	0.900	0.756	0.983
SPTAN1	SPTBN1	1855744	1853414	9606.ENSP00000361824	9606.ENSP00000349259	0	0	0	0.664	0.065	0.774	0.900	0.560	0.981
TLR1	LY96	1854260	1846928	9606.ENSP00000354932	9606.ENSP00000284818	0	0	0	0	0.155	0.397	0.900	0.630	0.978
PRKCD	PRKCB	1851365	1848723	9606.ENSP00000331602	9606.ENSP00000305355	0	0	0	0.851	0	0.774	0.900	0.597	0.978
AKT2	INS	1857974	1844030	9606.ENSP00000375892	9606.ENSP00000250971	0	0	0	0	0	0	0.900	0.792	0.978
ACTN1	ACTN4	1858193	1844152	9606.ENSP00000377941	9606.ENSP00000252699	0	0	0	0.986	0.055	0.774	0.900	0.630	0.977
TLR3	LY96	1847791	1846928	9606.ENSP00000296795	9606.ENSP00000284818	0	0	0	0	0	0.397	0.900	0.658	0.977
ACTN2	ACTN4	1854402	1844152	9606.ENSP00000355537	9606.ENSP00000252699	0	0	0	0.984	0	0.774	0.900	0.399	0.976
ACTN1	ACTN2	1858193	1854402	9606.ENSP00000377941	9606.ENSP00000355537	0	0	0	0.985	0	0.774	0.900	0.831	0.976
MYH10	MYH9	1846079	1842558	9606.ENSP00000269243	9606.ENSP00000216181	0	0	0	0.983	0	0.774	0.900	0.732	0.976
LEPR	SOCS3	1851253	1851244	9606.ENSP00000330393	9606.ENSP00000330341	0	0	0	0	0	0.401	0.900	0.623	0.975
GSTA2	GSTA3	1861460	1842464	9606.ENSP00000420168	9606.ENSP00000211122	0	0	0.526	0.987	0.415	0.601	0.900	0.864	0.975
PHKA2	PHKB	1857119	1849630	9606.ENSP00000369274	9606.ENSP00000313504	0	0	0.525	0.795	0.123	0.639	0.900	0.868	0.974
TLR6	TLR2	1857458	1844747	9606.ENSP00000371376	9606.ENSP00000260010	0	0	0	0.787	0.114	0.673	0.900	0.945	0.974
PHKA1	PHKB	1855934	1849630	9606.ENSP00000362643	9606.ENSP00000313504	0	0	0.525	0.805	0.123	0.639	0.900	0.817	0.973
LY96	CD180	1846928	1844437	9606.ENSP00000284818	9606.ENSP00000256447	0	0	0	0	0	0.397	0.900	0.596	0.973
GSTA1	GSTA3	1851878	1842464	9606.ENSP00000335620	9606.ENSP00000211122	0	0	0.527	0.987	0.378	0.608	0.900	0.868	0.973
CD40LG	AKT1	1855311	1846136	9606.ENSP00000359663	9606.ENSP00000270202	0	0	0	0	0	0	0.900	0.740	0.972
MYO5A	MYO9B	1858703	1858475	9606.ENSP00000382177	9606.ENSP00000380444	0	0	0	0.659	0.608	0.072	0.900	0.821	0.971
AKT1	RPS6KB1	1846136	1843035	9606.ENSP00000270202	9606.ENSP00000225577	0	0	0.432	0.870	0.106	0.633	0.900	0.963	0.970
SGK1	INS	1854674	1844030	9606.ENSP00000356832	9606.ENSP00000250971	0	0	0	0	0	0	0.900	0.716	0.970
GSTA1	GSTA5	1851878	1846914	9606.ENSP00000335620	9606.ENSP00000284562	0	0	0.526	0.987	0.698	0	0.900	0.868	0.969
ALB	INS	1847637	1844030	9606.ENSP00000295897	9606.ENSP00000250971	0	0	0	0	0	0	0	0.968	0.968
GSTA2	GSTA4	1861460	1855379	9606.ENSP00000420168	9606.ENSP00000359998	0	0	0.515	0.964	0	0.628	0.900	0.864	0.963
PHLPP2	PHLPP1	1853322	1845202	9606.ENSP00000348611	9606.ENSP00000262719	0.070	0	0	0.955	0.054	0.803	0.800	0.818	0.962
GSTA4	GSTA1	1855379	1851878	9606.ENSP00000359998	9606.ENSP00000335620	0	0	0.520	0.963	0	0.608	0.900	0.868	0.961
CEP97	PLK4	1852600	1846179	9606.ENSP00000342510	9606.ENSP00000270861	0	0	0	0	0.055	0.263	0.900	0.501	0.960
CEP97	PLK1	1852600	1848135	9606.ENSP00000342510	9606.ENSP00000300093	0	0	0	0	0.055	0.336	0.900	0.409	0.958
GP5	F2	1850134	1849080	9606.ENSP00000319286	9606.ENSP00000308541	0	0	0	0	0	0.402	0.900	0.352	0.957
OMD	OGN	1856328	1845170	9606.ENSP00000364700	9606.ENSP00000262551	0	0	0	0.658	0.419	0	0.900	0.862	0.957
MBOAT4	ALB	1849691	1847637	9606.ENSP00000314196	9606.ENSP00000295897	0	0	0	0	0	0	0	0.956	0.956
SPTAN1	SPTBN5	1855744	1849983	9606.ENSP00000361824	9606.ENSP00000317790	0	0	0	0.654	0.068	0.417	0.900	0.759	0.956
PRDM10	ALB	1853754	1847637	9606.ENSP00000351686	9606.ENSP00000295897	0	0	0	0	0	0	0	0.955	0.955
CD40LG	CD79A	1855311	1842872	9606.ENSP00000359663	9606.ENSP00000221972	0	0	0	0	0	0	0	0.955	0.955
PRDM10	MBOAT4	1853754	1849691	9606.ENSP00000351686	9606.ENSP00000314196	0	0	0	0	0	0	0	0.955	0.955
LINGO1	RTN4R	1853173	1842213	9606.ENSP00000347451	9606.ENSP00000043402	0	0	0	0.644	0.054	0.360	0.900	0.871	0.954
LUM	DCN	1845897	1842218	9606.ENSP00000266718	9606.ENSP00000052754	0	0	0.520	0.760	0.900	0	0.360	0.817	0.953
PRKCD	PRKCQ	1851365	1845292	9606.ENSP00000331602	9606.ENSP00000263125	0	0	0	0.974	0	0.774	0.800	0.269	0.953
OMG	RTN4R	1843866	1842213	9606.ENSP00000247271	9606.ENSP00000043402	0	0	0	0.622	0.053	0.360	0.900	0.779	0.953
GP1BB	GP9	1858831	1848586	9606.ENSP00000383382	9606.ENSP00000303942	0	0	0	0.777	0.144	0.360	0.900	0.891	0.952
SPTAN1	SPTBN2	1855744	1849428	9606.ENSP00000361824	9606.ENSP00000311489	0	0	0	0.652	0.058	0.503	0.900	0.178	0.951
MYH8	MYH13	1858931	1844108	9606.ENSP00000384330	9606.ENSP00000252172	0	0	0	0.986	0.090	0.506	0.900	0.704	0.951
SOCS2	SOCS3	1852217	1851244	9606.ENSP00000339428	9606.ENSP00000330341	0	0	0	0.792	0.105	0.398	0.900	0.785	0.950
MYO9B	MYH9	1858475	1842558	9606.ENSP00000380444	9606.ENSP00000216181	0	0	0	0.650	0.417	0.072	0.900	0.439	0.949
GP1BA	GP5	1851142	1850134	9606.ENSP00000329380	9606.ENSP00000319286	0	0	0	0.631	0.056	0.285	0.900	0.867	0.949
PLK1	PLK4	1848135	1846179	9606.ENSP00000300093	9606.ENSP00000270861	0	0	0	0.733	0.326	0.135	0.900	0.720	0.948
STAT1	PRKCD	1854113	1851365	9606.ENSP00000354394	9606.ENSP00000331602	0	0	0	0	0.054	0.406	0.900	0.184	0.948
SPTB	SPTAN1	1857851	1855744	9606.ENSP00000374372	9606.ENSP00000361824	0	0	0	0.656	0.058	0.360	0.900	0.610	0.947
MYO9A	MYO18B	1853287	1851736	9606.ENSP00000348349	9606.ENSP00000334563	0	0	0	0.611	0.377	0.072	0.900	0.442	0.947
MYO5A	MYO1C	1858703	1853902	9606.ENSP00000382177	9606.ENSP00000352834	0	0	0	0.796	0.052	0.397	0.900	0.639	0.945
MYO9B	MYH2	1858475	1843761	9606.ENSP00000380444	9606.ENSP00000245503	0	0	0	0.643	0.377	0.072	0.900	0.418	0.945
TLR6	TLR4	1857458	1856025	9606.ENSP00000371376	9606.ENSP00000363089	0	0	0	0.633	0.155	0	0.900	0.918	0.941
CISH	STAT1	1860785	1854113	9606.ENSP00000409346	9606.ENSP00000354394	0	0	0	0	0	0.138	0.800	0.666	0.937
