#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HIST1H2AD	HIST1H2BO	1852412	1848526	9606.ENSP00000341094	9606.ENSP00000303408	0	0	0	0	0.870	0.831	0.900	0.628	0.999
HIST3H2BB	HIST1H2AD	1857956	1852412	9606.ENSP00000375736	9606.ENSP00000341094	0	0	0	0	0.859	0.924	0.900	0.527	0.999
RPL12	RPLP0	1854209	1852166	9606.ENSP00000354739	9606.ENSP00000339027	0.309	0	0	0	0.987	0.940	0.924	0.459	0.999
HIST2H2BE	HIST1H2AD	1854962	1852412	9606.ENSP00000358151	9606.ENSP00000341094	0	0	0	0	0.869	0.870	0.900	0.560	0.999
HIST2H2AA3	HIST2H2BE	1854966	1854962	9606.ENSP00000358158	9606.ENSP00000358151	0	0	0	0	0.859	0.417	0.900	0.987	0.999
RPS27	RPLP1	1854822	1853006	9606.ENSP00000357555	9606.ENSP00000346037	0	0	0	0	0.990	0	0.900	0.302	0.999
HIST1H2AC	HIST1H2BD	1850346	1847163	9606.ENSP00000321389	9606.ENSP00000289316	0	0	0	0	0.968	0.531	0.900	0.648	0.999
HIST1H2BB	HIST1H2AD	1853610	1852412	9606.ENSP00000350580	9606.ENSP00000341094	0	0	0	0	0.867	0.924	0.900	0.522	0.999
RPLP1	RPLP0	1853006	1852166	9606.ENSP00000346037	9606.ENSP00000339027	0.309	0	0	0	0.971	0.988	0.900	0.625	0.999
HIST1H2BO	HIST1H2AE	1848526	1848523	9606.ENSP00000303408	9606.ENSP00000303373	0	0	0	0	0.903	0.878	0.800	0.735	0.999
RPS27	RPL12	1854822	1854209	9606.ENSP00000357555	9606.ENSP00000354739	0	0	0	0	0.951	0.774	0.900	0.365	0.999
HIST1H2BJ	HIST1H2AD	1852636	1852412	9606.ENSP00000342886	9606.ENSP00000341094	0	0	0	0	0.865	0.875	0.900	0.523	0.999
SMARCA4	SMARCC2	1853627	1845915	9606.ENSP00000350720	9606.ENSP00000267064	0	0	0	0	0.179	0.968	0.900	0.824	0.999
HIST1H2BK	HIST1H2AC	1853439	1850346	9606.ENSP00000349430	9606.ENSP00000321389	0	0	0	0	0.964	0.531	0.900	0.573	0.999
HIST2H2BE	HIST2H2AC	1854962	1851443	9606.ENSP00000358151	9606.ENSP00000332194	0	0	0	0	0.859	0.601	0.900	0.987	0.999
RPL12	RPLP1	1854209	1853006	9606.ENSP00000354739	9606.ENSP00000346037	0.309	0	0	0	0.965	0.826	0.900	0.298	0.999
RPS27	RPL22	1854822	1853014	9606.ENSP00000357555	9606.ENSP00000346088	0	0	0	0	0.862	0.774	0.900	0.480	0.998
HIST1H2BJ	HIST1H2AE	1852636	1848523	9606.ENSP00000342886	9606.ENSP00000303373	0	0	0	0	0.889	0.878	0.800	0.591	0.998
HIST1H2BK	HIST1H2AE	1853439	1848523	9606.ENSP00000349430	9606.ENSP00000303373	0	0	0	0	0.887	0.878	0.800	0.502	0.998
HIST1H2AD	HIST1H2BD	1852412	1847163	9606.ENSP00000341094	9606.ENSP00000289316	0	0	0	0	0.876	0.732	0.900	0.512	0.998
HIST3H2BB	HIST1H2AE	1857956	1848523	9606.ENSP00000375736	9606.ENSP00000303373	0	0	0	0	0.859	0.878	0.800	0.541	0.998
HIST1H2BK	HIST1H2AD	1853439	1852412	9606.ENSP00000349430	9606.ENSP00000341094	0	0	0	0	0.868	0.831	0.900	0.555	0.998
