#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PSMA7	PSMB7	1855365	1844696	9606.ENSP00000359910	9606.ENSP00000259457	0	0	0	0	0.796	0.992	0.900	0.342	0.999
CDK2	CDKN1A	1845906	1843736	9606.ENSP00000266970	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.960	0.999
PSMD1	PSMB7	1849179	1844696	9606.ENSP00000309474	9606.ENSP00000259457	0	0	0	0	0.349	0.996	0.900	0.283	0.999
CASP9	CYCS	1851230	1848998	9606.ENSP00000330237	9606.ENSP00000307786	0	0	0	0	0	0.722	0.900	0.968	0.999
RB1	CDK4	1845924	1844551	9606.ENSP00000267163	9606.ENSP00000257904	0	0	0	0	0.055	0.807	0.900	0.965	0.999
PSMC1	PSMB7	1844882	1844696	9606.ENSP00000261303	9606.ENSP00000259457	0	0	0	0	0.851	0.996	0.900	0.369	0.999
MTOR	AKT1	1854147	1846136	9606.ENSP00000354558	9606.ENSP00000270202	0	0	0	0	0.073	0.787	0.900	0.983	0.999
AKT1	PIK3CA	1846136	1845446	9606.ENSP00000270202	9606.ENSP00000263967	0	0	0	0	0.094	0.551	0.900	0.990	0.999
JUN	MAPK8	1855436	1853988	9606.ENSP00000360266	9606.ENSP00000353483	0	0	0	0	0	0.662	0.900	0.988	0.999
PIK3CG	AKT1	1853801	1846136	9606.ENSP00000352121	9606.ENSP00000270202	0	0	0	0	0.094	0.328	0.900	0.990	0.999
CDK2	CCND1	1845906	1843117	9606.ENSP00000266970	9606.ENSP00000227507	0	0	0	0	0.055	0.825	0.900	0.961	0.999
EGFR	EGF	1846445	1845705	9606.ENSP00000275493	9606.ENSP00000265171	0	0	0	0	0	0.875	0.900	0.978	0.999
PCNA	CDK2	1856984	1845906	9606.ENSP00000368438	9606.ENSP00000266970	0	0	0	0	0.730	0.788	0.900	0.928	0.999
CDK4	CCND1	1844551	1843117	9606.ENSP00000257904	9606.ENSP00000227507	0	0	0	0	0.058	0.976	0.900	0.984	0.999
GTF2B	TBP	1855275	1843249	9606.ENSP00000359531	9606.ENSP00000230354	0	0	0	0	0.180	0.993	0.900	0.968	0.999
PSMA7	PSMD1	1855365	1849179	9606.ENSP00000359910	9606.ENSP00000309474	0	0	0	0	0.270	0.994	0.900	0.183	0.999
TNFRSF10B	TNFSF10	1846494	1843591	9606.ENSP00000276431	9606.ENSP00000241261	0	0	0	0	0	0.866	0.900	0.980	0.999
PIK3CB	AKT1	1847156	1846136	9606.ENSP00000289153	9606.ENSP00000270202	0	0	0	0	0.094	0.591	0.900	0.990	0.999
KRAS	RAF1	1844404	1844086	9606.ENSP00000256078	9606.ENSP00000251849	0	0	0	0	0.097	0.783	0.900	0.957	0.999
F7	F3	1856334	1851684	9606.ENSP00000364731	9606.ENSP00000334145	0	0	0	0	0	0.916	0.900	0.974	0.999
CDK2	CDKN1B	1845906	1843169	9606.ENSP00000266970	9606.ENSP00000228872	0	0	0	0	0.053	0.965	0.900	0.957	0.999
JUN	FOS	1855436	1848822	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.522	0.952	0.900	0.990	0.999
GTF2B	POLR2E	1855275	1842493	9606.ENSP00000359531	9606.ENSP00000215587	0	0	0.304	0	0.087	0.954	0.900	0.829	0.999
CUL4A	DDB1	1856298	1848334	9606.ENSP00000364589	9606.ENSP00000301764	0	0	0	0	0.270	0.964	0.900	0.908	0.999
GTF2B	ERCC3	1855275	1846961	9606.ENSP00000359531	9606.ENSP00000285398	0	0	0	0	0.066	0.949	0.900	0.829	0.999
SERPINC1	F2	1854649	1849080	9606.ENSP00000356671	9606.ENSP00000308541	0.074	0	0	0	0.759	0.884	0.900	0.958	0.999
PSMA7	PSMC1	1855365	1844882	9606.ENSP00000359910	9606.ENSP00000261303	0	0	0	0	0.388	0.994	0.900	0.649	0.999
PSMD1	PSMC1	1849179	1844882	9606.ENSP00000309474	9606.ENSP00000261303	0	0	0	0	0.733	0.997	0.900	0.559	0.999
IL7R	IL7	1848815	1845425	9606.ENSP00000306157	9606.ENSP00000263851	0	0	0	0	0	0.866	0.900	0.962	0.999
PIK3CD	AKT1	1856668	1846136	9606.ENSP00000366563	9606.ENSP00000270202	0	0	0	0	0.094	0.328	0.900	0.990	0.999
MDM2	TP53	1861282	1846083	9606.ENSP00000417281	9606.ENSP00000269305	0	0	0	0	0.158	0.791	0.900	0.976	0.999
PTEN	PIK3CA	1855586	1845446	9606.ENSP00000361021	9606.ENSP00000263967	0	0	0	0	0.187	0.319	0.900	0.980	0.998
TP53	CDKN1A	1846083	1843736	9606.ENSP00000269305	9606.ENSP00000244741	0	0	0	0	0	0.574	0.900	0.963	0.998
PTEN	PIK3CG	1855586	1853801	9606.ENSP00000361021	9606.ENSP00000352121	0	0	0	0	0.217	0.319	0.900	0.969	0.998
MTOR	PIK3CG	1854147	1853801	9606.ENSP00000354558	9606.ENSP00000352121	0	0	0	0	0.061	0.305	0.900	0.973	0.998
BCL2	TP53	1851168	1846083	9606.ENSP00000329623	9606.ENSP00000269305	0	0	0	0	0	0.397	0.900	0.977	0.998
RB1	CDK2	1845924	1845906	9606.ENSP00000267163	9606.ENSP00000266970	0	0	0	0	0.055	0.807	0.900	0.946	0.998
MAPK9	JUN	1859420	1855436	9606.ENSP00000389338	9606.ENSP00000360266	0	0	0	0	0	0.662	0.900	0.960	0.998
CDKN2A	CDK4	1859838	1844551	9606.ENSP00000394932	9606.ENSP00000257904	0	0	0	0	0.054	0.694	0.900	0.956	0.998
CDK4	CDKN1A	1844551	1843736	9606.ENSP00000257904	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.911	0.998
PTEN	AKT1	1855586	1846136	9606.ENSP00000361021	9606.ENSP00000270202	0	0	0	0	0.085	0.528	0.800	0.983	0.998
EGFR	KRAS	1846445	1844404	9606.ENSP00000275493	9606.ENSP00000256078	0	0	0	0	0	0.612	0.900	0.965	0.998
PLG	SERPINE1	1849130	1842959	9606.ENSP00000308938	9606.ENSP00000223095	0.074	0	0	0	0.044	0.446	0.900	0.971	0.998
HRAS	RAF1	1849235	1844086	9606.ENSP00000309845	9606.ENSP00000251849	0	0	0	0	0.050	0.783	0.900	0.930	0.998
CDK4	CDKN1B	1844551	1843169	9606.ENSP00000257904	9606.ENSP00000228872	0	0	0	0	0	0.804	0.900	0.909	0.998
JUN	MAPK1	1855436	1842512	9606.ENSP00000360266	9606.ENSP00000215832	0	0	0	0	0	0.414	0.900	0.962	0.997
HRAS	EGFR	1849235	1846445	9606.ENSP00000309845	9606.ENSP00000275493	0	0	0	0	0	0.420	0.900	0.965	0.997
CASP3	CYCS	1849375	1848998	9606.ENSP00000311032	9606.ENSP00000307786	0	0	0	0	0	0	0.900	0.972	0.997
BAX	TP53	1847402	1846083	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0.087	0.394	0.900	0.962	0.997
IGF1	IGF1R	1848439	1845984	9606.ENSP00000302665	9606.ENSP00000268035	0	0	0	0	0	0.360	0.900	0.964	0.997
RB1	CCND1	1845924	1843117	9606.ENSP00000267163	9606.ENSP00000227507	0	0	0	0	0.058	0.572	0.900	0.948	0.997
CDKN2A	TP53	1859838	1846083	9606.ENSP00000394932	9606.ENSP00000269305	0	0	0	0	0	0.376	0.900	0.964	0.997
HRAS	PIK3CA	1849235	1845446	9606.ENSP00000309845	9606.ENSP00000263967	0	0	0	0	0.052	0.771	0.900	0.915	0.997
CDKN1A	CCND1	1843736	1843117	9606.ENSP00000244741	9606.ENSP00000227507	0	0	0	0	0	0.780	0.900	0.911	0.997
TP53	CDK2	1846083	1845906	9606.ENSP00000269305	9606.ENSP00000266970	0	0	0	0	0.093	0.606	0.900	0.926	0.997
PIK3CD	PTEN	1856668	1855586	9606.ENSP00000366563	9606.ENSP00000361021	0	0	0	0	0.055	0.319	0.900	0.969	0.997
CYCS	BCL2L1	1848998	1848421	9606.ENSP00000307786	9606.ENSP00000302564	0	0	0	0	0	0.722	0.900	0.902	0.997
PTEN	PIK3CB	1855586	1847156	9606.ENSP00000361021	9606.ENSP00000289153	0	0	0	0	0.097	0.319	0.900	0.969	0.997
PCNA	CDKN1A	1856984	1843736	9606.ENSP00000368438	9606.ENSP00000244741	0	0	0	0	0	0.798	0.900	0.899	0.997
CDKN1B	CCND1	1843169	1843117	9606.ENSP00000228872	9606.ENSP00000227507	0	0	0	0	0.051	0.780	0.900	0.904	0.997
