#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAEL012310	AAEL011750	1186056	1185499	7159.AAEL012310-PA	7159.AAEL011750-PA	0	0	0	0.794	0.682	0.990	0.572	0.572	0.998
AAEL013858	AAEL012071	1187584	1185819	7159.AAEL013858-PA	7159.AAEL012071-PA	0	0	0	0	0	0.933	0.910	0.571	0.997
AAEL011255	AAEL003293	1185014	1177094	7159.AAEL011255-PA	7159.AAEL003293-PA	0	0	0	0.680	0.849	0.758	0.800	0.555	0.993
AAEL013858	AAEL009377	1187584	1183147	7159.AAEL013858-PA	7159.AAEL009377-PA	0	0	0	0	0.052	0.958	0.572	0.506	0.990
AAEL012904	AAEL009317	1186646	1183088	7159.AAEL012904-PA	7159.AAEL009317-PA	0	0	0	0	0.170	0.947	0.297	0.431	0.980
AAEL012071	AAEL002903	1185819	1176706	7159.AAEL012071-PA	7159.AAEL002903-PA	0	0	0	0	0	0.653	0.852	0.427	0.968
AAEL011317	Arp8	1185076	1184522	7159.AAEL011317-PA	7159.AAEL010762-PA	0	0	0	0	0.131	0.853	0.572	0.425	0.964
AAEL012951	AAEL011317	1186691	1185076	7159.AAEL012951-PA	7159.AAEL011317-PA	0	0	0	0	0	0.941	0.222	0.171	0.958
AAEL003383	AAEL002953	1177183	1176756	7159.AAEL003383-PA	7159.AAEL002953-PA	0	0	0	0.660	0.092	0.944	0	0.425	0.954
AAEL008398	AAEL005072	1182173	1178868	7159.AAEL008398-PA	7159.AAEL005072-PA	0	0	0	0	0.108	0.437	0.736	0.578	0.936
AAEL008585	AAEL008398	1182360	1182173	7159.AAEL008585-PA	7159.AAEL008398-PA	0	0	0	0	0.068	0.510	0.737	0.505	0.932
AAEL008398	AAEL007766	1182173	1181543	7159.AAEL008398-PA	7159.AAEL007766-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL003306	1182173	1177107	7159.AAEL008398-PA	7159.AAEL003306-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL012857	AAEL008398	1186599	1182173	7159.AAEL012857-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL014340	AAEL008398	1188041	1182173	7159.AAEL014340-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL001738	1182173	1175543	7159.AAEL008398-PA	7159.AAEL001738-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL013387	AAEL008398	1187126	1182173	7159.AAEL013387-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL005785	1182173	1179580	7159.AAEL008398-PA	7159.AAEL005785-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL015232	AAEL008398	1188802	1182173	7159.AAEL015232-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL010688	AAEL008398	1184449	1182173	7159.AAEL010688-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL011522	AAEL008398	1185280	1182173	7159.AAEL011522-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL001901	1182173	1175706	7159.AAEL008398-PA	7159.AAEL001901-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL009377	AAEL008398	1183147	1182173	7159.AAEL009377-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL008179	1182173	1181954	7159.AAEL008398-PA	7159.AAEL008179-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL009180	AAEL008398	1182951	1182173	7159.AAEL009180-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL012071	AAEL008398	1185819	1182173	7159.AAEL012071-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL001571	1182173	1175376	7159.AAEL008398-PA	7159.AAEL001571-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL010105	AAEL008398	1183871	1182173	7159.AAEL010105-PA	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL014749	AAEL008398	1188420	1182173	7159.AAEL014749-PB	7159.AAEL008398-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL003301	1182173	1177102	7159.AAEL008398-PA	7159.AAEL003301-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008398	AAEL002119	1182173	1175924	7159.AAEL008398-PA	7159.AAEL002119-PA	0	0	0	0	0	0.437	0.736	0.578	0.931
AAEL008179	AAEL000693	1181954	1174506	7159.AAEL008179-PA	7159.AAEL000693-PA	0	0	0	0	0.066	0.368	0.572	0.756	0.930
AAEL009826	AAEL000194	1183593	1174009	7159.AAEL009826-PA	7159.AAEL000194-PA	0	0	0	0.683	0.118	0	0.900	0.524	0.922
Cdc42	AAEL002903	1182318	1176706	7159.AAEL008543-PA	7159.AAEL002903-PA	0	0	0	0	0.045	0.743	0.391	0.506	0.916
AAEL011317	ACT-1	1185076	1175733	7159.AAEL011317-PA	7159.AAEL001928-PA	0	0	0	0.855	0.042	0.812	0.509	0.547	0.911
AAEL009317	AAEL007065	1183088	1180852	7159.AAEL009317-PA	7159.AAEL007065-PA	0	0	0	0	0.165	0.618	0.572	0.425	0.911
AAEL011317	AAEL005961	1185076	1179754	7159.AAEL011317-PA	7159.AAEL005961-PA	0	0	0	0.862	0.042	0.812	0.509	0.547	0.910
AAEL011317	AAEL004631	1185076	1178427	7159.AAEL011317-PA	7159.AAEL004631-PA	0	0	0	0.863	0.042	0.812	0.509	0.547	0.910
AAEL011317	AAEL001673	1185076	1175478	7159.AAEL011317-PA	7159.AAEL001673-PA	0	0	0	0.859	0.042	0.812	0.509	0.547	0.910
AAEL011317	AAEL011197	1185076	1184956	7159.AAEL011317-PA	7159.AAEL011197-PA	0	0	0	0.863	0.042	0.812	0.509	0.547	0.910
AAEL011750	AAEL011197	1185499	1184956	7159.AAEL011750-PA	7159.AAEL011197-PA	0	0	0	0.944	0.103	0.779	0.564	0.548	0.908
AAEL012071	AAEL008585	1185819	1182360	7159.AAEL012071-PA	7159.AAEL008585-PA	0	0	0	0	0.079	0.671	0.572	0.369	0.907
AAEL011750	AAEL005961	1185499	1179754	7159.AAEL011750-PA	7159.AAEL005961-PA	0	0	0	0.946	0.063	0.779	0.564	0.548	0.904
AAEL011750	ACT-1	1185499	1175733	7159.AAEL011750-PA	7159.AAEL001928-PA	0	0	0	0.945	0.063	0.779	0.564	0.548	0.904
AAEL011750	AAEL004631	1185499	1178427	7159.AAEL011750-PA	7159.AAEL004631-PA	0	0	0	0.945	0.063	0.779	0.564	0.548	0.904
AAEL011750	AAEL001673	1185499	1175478	7159.AAEL011750-PA	7159.AAEL001673-PA	0	0	0	0.944	0.063	0.779	0.564	0.548	0.904
AAEL008398	AAEL000693	1182173	1174506	7159.AAEL008398-PA	7159.AAEL000693-PA	0	0	0	0	0.238	0.644	0.291	0.548	0.901
