identifier,string_name
O00203,9606.ENSP00000255194
O60885,9606.ENSP00000263377
P21912,9606.ENSP00000364649
P25440,9606.ENSP00000378704
Q6UX04,9606.ENSP00000370460
Q86VM9,9606.ENSP00000416951
Q8IWA5,9606.ENSP00000336888
O15127,9606.ENSP00000268099
O75439,9606.ENSP00000249269
O75915,9606.ENSP00000273258
O95070,9606.ENSP00000366098
O95197,9606.ENSP00000367050
P05026,9606.ENSP00000356790
P11310,9606.ENSP00000359871
P13804,9606.ENSP00000452762
P20020,9606.ENSP00000392043
P27105,9606.ENSP00000286713
P27544,9606.ENSP00000485582
P38435,9606.ENSP00000233838
P38606,9606.ENSP00000273398
P43003,9606.ENSP00000265113
P48556,9606.ENSP00000215071
P48651,9606.ENSP00000430548
P55786,9606.ENSP00000320324
P60604,9606.ENSP00000338348
Q00765,9606.ENSP00000368959
Q10713,9606.ENSP00000360782
Q15773,9606.ENSP00000203630
Q4KMQ2,9606.ENSP00000409126
Q53HI1,9606.ENSP00000350409
Q53R41,9606.ENSP00000400513
Q5JRX3,9606.ENSP00000370377
Q5SRE5,9606.ENSP00000361658
Q5T9L3,9606.ENSP00000346829
Q6PML9,9606.ENSP00000264451
Q7L8L6,9606.ENSP00000369618
Q8IXI1,9606.ENSP00000321971
Q8N0U8,9606.ENSP00000403077
Q8NEW0,9606.ENSP00000359130
Q8WUD6,9606.ENSP00000229266
Q92604,9606.ENSP00000355964
Q96CW5,9606.ENSP00000261965
Q96D53,9606.ENSP00000315118
Q96ER3,9606.ENSP00000432487
Q96HR9,9606.ENSP00000233596
Q96HW7,9606.ENSP00000434466
Q9BQT8,9606.ENSP00000329452
Q9BSJ2,9606.ENSP00000446093
Q9BW92,9606.ENSP00000358060
Q9BXW7,9606.ENSP00000337358
Q9BXW9,9606.ENSP00000287647
Q9NQC3,9606.ENSP00000337838
Q9NRX5,9606.ENSP00000342962
Q9NUQ2,9606.ENSP00000285518
Q9UBU6,9606.ENSP00000259963
Q9UDR5,9606.ENSP00000377040
Q9UI26,9606.ENSP00000386992
Q9ULX6,9606.ENSP00000380557
Q9Y312,9606.ENSP00000363043
Q9Y5L0,9606.ENSP00000265388
Q9Y5Y0,9606.ENSP00000355938
Q9Y6E2,9606.ENSP00000397249
O43818,9606.ENSP00000232888
O75683,9606.ENSP00000361092
P11940,9606.ENSP00000313007
P16989,9606.ENSP00000228251
P19784,9606.ENSP00000262506
P67870,9606.ENSP00000365042
Q13283,9606.ENSP00000377681
Q13310,9606.ENSP00000361949
Q6PKG0,9606.ENSP00000336721
Q8NCA5,9606.ENSP00000238823
Q8TAD8,9606.ENSP00000296215
Q92900,9606.ENSP00000470142
Q9H7E9,9606.ENSP00000330361
Q9HCE1,9606.ENSP00000399797
Q9NR30,9606.ENSP00000346120
Q9NW13,9606.ENSP00000223073
Q9UN86,9606.ENSP00000352738
Q9Y3B9,9606.ENSP00000355899
Q9Y3U8,9606.ENSP00000464342
Q7Z5G4,9606.ENSP00000350378
Q9C0B5,9606.ENSP00000287169
P09884,9606.ENSP00000368349
P49642,9606.ENSP00000350491
P49643,9606.ENSP00000484105
Q14181,9606.ENSP00000265465
Q5T9A4,9606.ENSP00000311766
Q8NBJ5,9606.ENSP00000252599
Q99959,9606.ENSP00000070846
O94973,9606.ENSP00000327694
P52434,9606.ENSP00000415536
P55789,9606.ENSP00000248114
Q969X5,9606.ENSP00000377374
Q96CW1,9606.ENSP00000292807
Q9HAV7,9606.ENSP00000264954
Q9NZL4,9606.ENSP00000255631
O75347,9606.ENSP00000306362
P30040,9606.ENSP00000261735
Q5VWZ2,9606.ENSP00000355895
A3KN83,9606.ENSP00000387361
O14874,9606.ENSP00000378405
O43823,9606.ENSP00000269701
O75306,9606.ENSP00000356972
O75489,9606.ENSP00000263774
O75592,9606.ENSP00000444596
O95391,9606.ENSP00000297151
Q13546,9606.ENSP00000259808
Q14157,9606.ENSP00000389445
Q16718,9606.ENSP00000417142
Q2T9J0,9606.ENSP00000287078
Q5EBL8,9606.ENSP00000239666
Q5JSZ5,9606.ENSP00000349856
Q5T6F2,9606.ENSP00000368540
Q5VUA4,9606.ENSP00000354964
Q6UUV7,9606.ENSP00000268184
Q70EL1,9606.ENSP00000345216
Q8IWR0,9606.ENSP00000379773
Q92615,9606.ENSP00000482767
Q96BP2,9606.ENSP00000361923
Q96C92,9606.ENSP00000349929
Q96IZ5,9606.ENSP00000361557
Q99081,9606.ENSP00000388940
Q9H2H8,9606.ENSP00000286175
Q9HAU0,9606.ENSP00000404296
A7MCY6,9606.ENSP00000354777
O14578,9606.ENSP00000376306
O75506,9606.ENSP00000392896
O95613,9606.ENSP00000352572
O95684,9606.ENSP00000355812
P13861,9606.ENSP00000265563
P17612,9606.ENSP00000309591
P26038,9606.ENSP00000353408
P31323,9606.ENSP00000265717
P35241,9606.ENSP00000384136
P49454,9606.ENSP00000355922
Q04724,9606.ENSP00000365682
Q04726,9606.ENSP00000452871
Q08117,9606.ENSP00000221561
Q08378,9606.ENSP00000204726
Q08379,9606.ENSP00000416097
Q14789,9606.ENSP00000377275
Q15154,9606.ENSP00000327077
Q4V328,9606.ENSP00000365606
Q5VT06,9606.ENSP00000356579
Q5VU43,9606.ENSP00000358363
Q66GS9,9606.ENSP00000257287
Q76N32,9606.ENSP00000367229
Q7Z7A1,9606.ENSP00000362962
Q8IUD2,9606.ENSP00000468263
Q8IWJ2,9606.ENSP00000307939
Q8N3C7,9606.ENSP00000327009
Q8N4C6,9606.ENSP00000371472
Q8N8E3,9606.ENSP00000376522
Q8TD10,9606.ENSP00000333539
Q92995,9606.ENSP00000263966
Q96CN9,9606.ENSP00000318821
Q96N16,9606.ENSP00000386711
Q96SN8,9606.ENSP00000343818
Q99996,9606.ENSP00000348573
Q9BQQ3,9606.ENSP00000313869
Q9BQS8,9606.ENSP00000296137
Q9BV19,9606.ENSP00000361603
Q9BV73,9606.ENSP00000380661
Q9UHD2,9606.ENSP00000329967
Q9UJC3,9606.ENSP00000360252
Q9Y2I6,9606.ENSP00000278886
P06280,9606.ENSP00000218516
P12268,9606.ENSP00000321584
Q9NXA8,9606.ENSP00000476228
P61970,9606.ENSP00000219169
P62330,9606.ENSP00000298316
Q9H4P4,9606.ENSP00000342755
Q9HB71,9606.ENSP00000356652
O14975,9606.ENSP00000267842
O60573,9606.ENSP00000258416
P16435,9606.ENSP00000419970
P52306,9606.ENSP00000340454
Q2M389,9606.ENSP00000484713
Q5T1M5,9606.ENSP00000238256
Q6Y7W6,9606.ENSP00000387170
P14735,9606.ENSP00000265986
P62072,9606.ENSP00000257245
Q2TAA5,9606.ENSP00000430236
Q6NUS6,9606.ENSP00000483364
Q8IWV8,9606.ENSP00000361990
Q8TEM1,9606.ENSP00000254508
Q96BQ5,9606.ENSP00000296824
Q9BSF4,9606.ENSP00000270502
Q9NVH1,9606.ENSP00000366800
Q9Y5J6,9606.ENSP00000254616
Q9Y5J7,9606.ENSP00000378588
Q92769,9606.ENSP00000430432
P07203,9606.ENSP00000407375
Q9NXH9,9606.ENSP00000466967
O75964,9606.ENSP00000300688
P56385,9606.ENSP00000306003
Q15904,9606.ENSP00000358777
Q99720,9606.ENSP00000277010
Q9H2J7,9606.ENSP00000266682
Q9H7F0,9606.ENSP00000416508
O00116,9606.ENSP00000264167
O14929,9606.ENSP00000264108
O43169,9606.ENSP00000308430
O95573,9606.ENSP00000350012
P00387,9606.ENSP00000354468
P09669,9606.ENSP00000428895
P11233,9606.ENSP00000005257
P21964,9606.ENSP00000354511
P51148,9606.ENSP00000447053
P51149,9606.ENSP00000265062
P57105,9606.ENSP00000256366
P61006,9606.ENSP00000300935
P61019,9606.ENSP00000262646
P61026,9606.ENSP00000264710
P61106,9606.ENSP00000362946
P61586,9606.ENSP00000400175
P62820,9606.ENSP00000387286
P62873,9606.ENSP00000481878
P63218,9606.ENSP00000359675
Q12907,9606.ENSP00000303366
Q13724,9606.ENSP00000233616
Q5JTV8,9606.ENSP00000435365
Q5VT66,9606.ENSP00000355877
Q6IAN0,9606.ENSP00000378887
Q6P1Q0,9606.ENSP00000389903
Q6ZRP7,9606.ENSP00000351536
Q7LGA3,9606.ENSP00000359581
Q8N183,9606.ENSP00000296597
Q8NBU5,9606.ENSP00000339017
Q8NBX0,9606.ENSP00000355467
Q8TED1,9606.ENSP00000423822
Q8WTV0,9606.ENSP00000261693
Q8WUY8,9606.ENSP00000205194
Q8WVC6,9606.ENSP00000308515
Q96A26,9606.ENSP00000419088
Q96DA6,9606.ENSP00000372005
Q9BQE4,9606.ENSP00000381282
Q9H7Z7,9606.ENSP00000345341
Q9NP72,9606.ENSP00000478479
Q9NX40,9606.ENSP00000370882
Q9NXS2,9606.ENSP00000012049
Q9UL25,9606.ENSP00000261263
Q9Y2R0,9606.ENSP00000354762
Q9Y6D0,9606.ENSP00000418813
O00411,9606.ENSP00000465759
O00566,9606.ENSP00000244230
O76094,9606.ENSP00000342181
O95260,9606.ENSP00000224652
O96028,9606.ENSP00000372351
P09132,9606.ENSP00000424870
P61011,9606.ENSP00000451818
P82663,9606.ENSP00000253686
P82675,9606.ENSP00000272418
Q13206,9606.ENSP00000314348
Q13868,9606.ENSP00000361433
Q14692,9606.ENSP00000363642
Q15397,9606.ENSP00000380982
Q4G0J3,9606.ENSP00000422626
Q5T280,9606.ENSP00000354812
Q7L2J0,9606.ENSP00000308546
Q8NEJ9,9606.ENSP00000386134
Q92552,9606.ENSP00000426941
