#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HIST2H2BE	HIST1H2AD	1854962	1852412	9606.ENSP00000358151	9606.ENSP00000341094	0	0	0	0	0.869	0.870	0.900	0.560	0.999
CDK2	CDKN1A	1845906	1843736	9606.ENSP00000266970	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.960	0.999
HIST1H2BB	HIST1H2AD	1853610	1852412	9606.ENSP00000350580	9606.ENSP00000341094	0	0	0	0	0.867	0.924	0.900	0.522	0.999
HIST1H2BK	HIST1H2AC	1853439	1850346	9606.ENSP00000349430	9606.ENSP00000321389	0	0	0	0	0.964	0.531	0.900	0.573	0.999
FOXO1	AKT1	1857055	1846136	9606.ENSP00000368880	9606.ENSP00000270202	0	0	0	0	0	0.861	0.900	0.956	0.999
HIST1H2AD	HIST1H2BO	1852412	1848526	9606.ENSP00000341094	9606.ENSP00000303408	0	0	0	0	0.870	0.831	0.900	0.628	0.999
HIST1H2AC	HIST1H2BD	1850346	1847163	9606.ENSP00000321389	9606.ENSP00000289316	0	0	0	0	0.968	0.531	0.900	0.648	0.999
TBP	BRF2	1843249	1842795	9606.ENSP00000230354	9606.ENSP00000220659	0	0	0	0	0.125	0.973	0.900	0.850	0.999
TAF1L	TBP	1861354	1843249	9606.ENSP00000418379	9606.ENSP00000230354	0	0	0	0	0.115	0.967	0.900	0.704	0.999
CDK2	CDKN1B	1845906	1843169	9606.ENSP00000266970	9606.ENSP00000228872	0	0	0	0	0.053	0.965	0.900	0.957	0.999
GTF2B	TBP	1855275	1843249	9606.ENSP00000359531	9606.ENSP00000230354	0	0	0	0	0.180	0.993	0.900	0.968	0.999
HIST2H2BE	HIST1H2AB	1854962	1844723	9606.ENSP00000358151	9606.ENSP00000259791	0	0	0	0	0.859	0.986	0	0.535	0.999
HIST3H2BB	HIST1H2AB	1857956	1844723	9606.ENSP00000375736	9606.ENSP00000259791	0	0	0	0	0.859	0.984	0	0.635	0.999
CDK1	CDC25C	1858283	1850370	9606.ENSP00000378699	9606.ENSP00000321656	0	0	0	0	0.614	0.779	0.900	0.956	0.999
HIST3H2BB	HIST1H2AD	1857956	1852412	9606.ENSP00000375736	9606.ENSP00000341094	0	0	0	0	0.859	0.924	0.900	0.527	0.999
FOXO3	AKT1	1852227	1846136	9606.ENSP00000339527	9606.ENSP00000270202	0	0	0	0	0	0.854	0.900	0.955	0.999
TAF1	TBP	1846471	1843249	9606.ENSP00000276072	9606.ENSP00000230354	0	0	0	0	0.115	0.988	0.900	0.936	0.999
CDK1	CDC20	1858283	1849070	9606.ENSP00000378699	9606.ENSP00000308450	0	0	0	0	0.889	0.779	0.900	0.909	0.999
TP53	CDKN1A	1846083	1843736	9606.ENSP00000269305	9606.ENSP00000244741	0	0	0	0	0	0.574	0.900	0.963	0.998
EIF4E	PABPC1	1861659	1849591	9606.ENSP00000425561	9606.ENSP00000313007	0	0	0	0	0.059	0.798	0.900	0.914	0.998
HIST3H2BB	HIST2H2AB	1857956	1851519	9606.ENSP00000375736	9606.ENSP00000332790	0	0	0	0	0.863	0.649	0.900	0.635	0.998
HIST1H2BL	HIST1H2AD	1856676	1852412	9606.ENSP00000366618	9606.ENSP00000341094	0	0	0	0	0.859	0.787	0.900	0.610	0.998
CDK4	CDKN1A	1844551	1843736	9606.ENSP00000257904	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.911	0.998
HIST1H2BB	HIST1H2AB	1853610	1844723	9606.ENSP00000350580	9606.ENSP00000259791	0	0	0	0	0.859	0.975	0	0.612	0.998
HIST1H2BN	HIST1H2AD	1858441	1852412	9606.ENSP00000380177	9606.ENSP00000341094	0	0	0	0	0.863	0.854	0.900	0.549	0.998
PTEN	AKT1	1855586	1846136	9606.ENSP00000361021	9606.ENSP00000270202	0	0	0	0	0.085	0.528	0.800	0.983	0.998
BRF1	TBP	1862499	1843249	9606.ENSP00000448323	9606.ENSP00000230354	0	0	0	0	0.125	0.919	0.900	0.803	0.998
EGFR	KRAS	1846445	1844404	9606.ENSP00000275493	9606.ENSP00000256078	0	0	0	0	0	0.612	0.900	0.965	0.998
H2AFX	HIST2H2BE	1856252	1854962	9606.ENSP00000364310	9606.ENSP00000358151	0	0	0	0	0.859	0.687	0.900	0.734	0.998
HIST1H2BB	HIST1H2AA	1853610	1847815	9606.ENSP00000350580	9606.ENSP00000297012	0	0	0	0	0.859	0.756	0.900	0.600	0.998
TP53	CREBBP	1846083	1845124	9606.ENSP00000269305	9606.ENSP00000262367	0	0	0	0	0.054	0.934	0.900	0.720	0.998
CDK4	CDKN1B	1844551	1843169	9606.ENSP00000257904	9606.ENSP00000228872	0	0	0	0	0	0.804	0.900	0.909	0.998
HIST1H2AD	HIST1H2BD	1852412	1847163	9606.ENSP00000341094	9606.ENSP00000289316	0	0	0	0	0.876	0.732	0.900	0.512	0.998
HIST1H2BK	HIST1H2AD	1853439	1852412	9606.ENSP00000349430	9606.ENSP00000341094	0	0	0	0	0.868	0.831	0.900	0.555	0.998
HIST1H2BH	HIST1H2AD	1853333	1852412	9606.ENSP00000348706	9606.ENSP00000341094	0	0	0	0	0.887	0.831	0.900	0.527	0.998
CDC25A	CDK2	1848560	1845906	9606.ENSP00000303706	9606.ENSP00000266970	0	0	0	0	0.188	0.779	0.900	0.933	0.998
CDK1	CDC25A	1858283	1848560	9606.ENSP00000378699	9606.ENSP00000303706	0	0	0	0	0.364	0.779	0.900	0.900	0.998
H2AFJ	HIST1H2BB	1857794	1853610	9606.ENSP00000373730	9606.ENSP00000350580	0	0	0	0	0.859	0.649	0.900	0.506	0.997
HIST1H2BO	HIST1H2AB	1848526	1844723	9606.ENSP00000303408	9606.ENSP00000259791	0	0	0	0	0.866	0.964	0	0.498	0.997
HIST1H2BB	HIST2H2AB	1853610	1851519	9606.ENSP00000350580	9606.ENSP00000332790	0	0	0	0	0.859	0.649	0.900	0.584	0.997
HRAS	EGFR	1849235	1846445	9606.ENSP00000309845	9606.ENSP00000275493	0	0	0	0	0	0.420	0.900	0.965	0.997
HIST1H2BL	HIST3H2A	1856676	1854432	9606.ENSP00000366618	9606.ENSP00000355656	0	0	0	0	0.906	0.531	0.900	0.527	0.997
HIST2H2BE	HIST1H2BB	1854962	1853610	9606.ENSP00000358151	9606.ENSP00000350580	0	0	0	0.988	0.047	0.979	0.900	0.420	0.997
HIST1H2BN	HIST2H2AB	1858441	1851519	9606.ENSP00000380177	9606.ENSP00000332790	0	0	0	0	0.868	0.649	0.900	0.502	0.997
HIST1H2BL	HIST1H2AJ	1856676	1851044	9606.ENSP00000366618	9606.ENSP00000328484	0	0	0	0	0.879	0.649	0.900	0.536	0.997
HIST3H2BB	H2AFX	1857956	1856252	9606.ENSP00000375736	9606.ENSP00000364310	0	0	0	0	0.859	0.649	0.900	0.510	0.997
HIST1H2BK	HIST2H2AB	1853439	1851519	9606.ENSP00000349430	9606.ENSP00000332790	0	0	0	0	0.859	0.531	0.900	0.635	0.997
HIST3H2BB	HIST1H2AC	1857956	1850346	9606.ENSP00000375736	9606.ENSP00000321389	0	0	0	0	0.859	0.649	0.900	0.541	0.997
HIST1H2BK	HIST1H2AB	1853439	1844723	9606.ENSP00000349430	9606.ENSP00000259791	0	0	0	0	0.859	0.964	0	0.498	0.997
HIST1H2BL	HIST1H2AC	1856676	1850346	9606.ENSP00000366618	9606.ENSP00000321389	0	0	0	0	0.867	0.649	0.900	0.509	0.997
