#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MYO5B	RAB11A	1846944	1845020	9606.ENSP00000285039	9606.ENSP00000261890	0	0	0	0	0.055	0.903	0.900	0.881	0.998
RHOA	MYH14	1860210	1845102	9606.ENSP00000400175	9606.ENSP00000262269	0	0	0	0	0.055	0.292	0.900	0.907	0.992
HIST1H2AD	H2AFV	1852412	1849067	9606.ENSP00000341094	9606.ENSP00000308405	0	0	0	0.957	0.120	0.910	0.900	0.452	0.991
H2AFJ	HIST1H2AC	1857794	1850346	9606.ENSP00000373730	9606.ENSP00000321389	0	0	0	0.987	0	0.869	0.900	0.050	0.986
RAP1A	CDC42	1853349	1849707	9606.ENSP00000348786	9606.ENSP00000314458	0	0	0	0.751	0.074	0.804	0.900	0.761	0.984
RND1	RRAS	1849072	1843834	9606.ENSP00000308461	9606.ENSP00000246792	0	0	0.244	0	0	0.101	0.900	0.781	0.983
HIST1H2AD	H2AFZ	1852412	1847723	9606.ENSP00000341094	9606.ENSP00000296417	0	0	0	0.956	0.120	0.828	0.900	0.452	0.983
H2AFJ	HIST1H2AJ	1857794	1851044	9606.ENSP00000373730	9606.ENSP00000328484	0	0	0	0.987	0	0.820	0.900	0.910	0.981
DOCK9	CDC42	1856503	1849707	9606.ENSP00000365643	9606.ENSP00000314458	0	0	0	0	0.052	0.407	0.900	0.692	0.980
H2AFJ	HIST2H2AC	1857794	1851443	9606.ENSP00000373730	9606.ENSP00000332194	0	0	0	0.988	0	0.800	0.900	0.136	0.979
RHOA	MYO9B	1860210	1858475	9606.ENSP00000400175	9606.ENSP00000380444	0	0	0	0	0.055	0.544	0.900	0.551	0.978
ARF4	ARF1	1848801	1846224	9606.ENSP00000306010	9606.ENSP00000272102	0	0	0	0.984	0.130	0.774	0.900	0.733	0.978
ARF1	ARF5	1846224	1842109	9606.ENSP00000272102	9606.ENSP00000000233	0	0	0	0.983	0.058	0.774	0.900	0.814	0.977
MYH10	MYH9	1846079	1842558	9606.ENSP00000269243	9606.ENSP00000216181	0	0	0	0.983	0	0.774	0.900	0.732	0.976
PHKA2	PHKB	1857119	1849630	9606.ENSP00000369274	9606.ENSP00000313504	0	0	0.525	0.795	0.123	0.639	0.900	0.868	0.974
PHKA1	PHKB	1855934	1849630	9606.ENSP00000362643	9606.ENSP00000313504	0	0	0.525	0.805	0.123	0.639	0.900	0.817	0.973
MYO5A	MYO9B	1858703	1858475	9606.ENSP00000382177	9606.ENSP00000380444	0	0	0	0.659	0.608	0.072	0.900	0.821	0.971
HIST1H2AD	HIST1H2AJ	1852412	1851044	9606.ENSP00000341094	9606.ENSP00000328484	0	0	0	0.988	0.166	0.677	0.900	0.049	0.970
HIST1H2AC	H2AFZ	1850346	1847723	9606.ENSP00000321389	9606.ENSP00000296417	0	0	0	0.955	0.120	0.676	0.900	0.500	0.969
HIST1H2AC	H2AFV	1850346	1849067	9606.ENSP00000321389	9606.ENSP00000308405	0	0	0	0.957	0.120	0.676	0.900	0.452	0.969
H2AFJ	H2AFZ	1857794	1847723	9606.ENSP00000373730	9606.ENSP00000296417	0	0	0	0.956	0.120	0.676	0.900	0.472	0.969
HIST1H2AA	H2AFZ	1847815	1847723	9606.ENSP00000297012	9606.ENSP00000296417	0	0	0	0.954	0.120	0.676	0.900	0.480	0.969
DOCK8	CDC42	1860721	1849707	9606.ENSP00000408464	9606.ENSP00000314458	0	0	0	0	0.051	0.330	0.900	0.580	0.969
HIST1H2AJ	H2AFZ	1851044	1847723	9606.ENSP00000328484	9606.ENSP00000296417	0	0	0	0.955	0.120	0.676	0.900	0.494	0.969
H2AFV	HIST1H2AA	1849067	1847815	9606.ENSP00000308405	9606.ENSP00000297012	0	0	0	0.955	0.120	0.676	0.900	0.452	0.969
HIST1H2AJ	H2AFV	1851044	1849067	9606.ENSP00000328484	9606.ENSP00000308405	0	0	0	0.956	0.120	0.676	0.900	0.478	0.969
H2AFJ	H2AFV	1857794	1849067	9606.ENSP00000373730	9606.ENSP00000308405	0	0	0	0.957	0.120	0.676	0.900	0.452	0.969
H2AFX	H2AFV	1856252	1849067	9606.ENSP00000364310	9606.ENSP00000308405	0	0	0	0.954	0.120	0.676	0.900	0.636	0.969
H2AFX	H2AFZ	1856252	1847723	9606.ENSP00000364310	9606.ENSP00000296417	0	0	0	0.953	0.120	0.676	0.900	0.681	0.969
RAB25	MYO5B	1854111	1846944	9606.ENSP00000354376	9606.ENSP00000285039	0	0	0	0	0.101	0.903	0	0.679	0.969
HIST1H2AD	HIST1H2AC	1852412	1850346	9606.ENSP00000341094	9606.ENSP00000321389	0	0	0	0.988	0.105	0.677	0.900	0.049	0.968
H2AFB1	H2AFZ	1853054	1847723	9606.ENSP00000346450	9606.ENSP00000296417	0	0	0	0.822	0.120	0.615	0.900	0.736	0.967
H2AFZ	HIST1H2AB	1847723	1844723	9606.ENSP00000296417	9606.ENSP00000259791	0	0	0	0.955	0.120	0.964	0	0.487	0.967
RHOA	MYH11	1860210	1858384	9606.ENSP00000400175	9606.ENSP00000379616	0	0	0	0	0.055	0.292	0.900	0.568	0.967
H2AFB1	H2AFV	1853054	1849067	9606.ENSP00000346450	9606.ENSP00000308405	0	0	0	0.824	0.120	0.615	0.900	0.559	0.966
RHOA	MYH9	1860210	1842558	9606.ENSP00000400175	9606.ENSP00000216181	0	0	0	0	0.055	0.292	0.900	0.555	0.966
HIST1H2AD	HIST2H2AB	1852412	1851519	9606.ENSP00000341094	9606.ENSP00000332790	0	0	0	0.987	0.042	0.677	0.900	0.049	0.966
HIST1H2AJ	HIST1H2AC	1851044	1850346	9606.ENSP00000328484	9606.ENSP00000321389	0	0	0	0.988	0	0.680	0.900	0	0.966
H2AFX	HIST1H2AD	1856252	1852412	9606.ENSP00000364310	9606.ENSP00000341094	0	0	0	0.985	0.042	0.677	0.900	0.049	0.966
H2AFJ	HIST1H2AD	1857794	1852412	9606.ENSP00000373730	9606.ENSP00000341094	0	0	0	0.987	0.042	0.677	0.900	0.049	0.966
MYO5A	CDC42	1858703	1849707	9606.ENSP00000382177	9606.ENSP00000314458	0	0	0	0	0.055	0.292	0.900	0.545	0.965
CDC42	DOCK11	1849707	1846480	9606.ENSP00000314458	9606.ENSP00000276202	0	0	0	0	0.052	0.173	0.900	0.616	0.965
HIST2H2AB	HIST1H2AC	1851519	1850346	9606.ENSP00000332790	9606.ENSP00000321389	0	0	0	0.987	0	0.667	0.900	0.046	0.965
HIST2H2AC	H2AFV	1851443	1849067	9606.ENSP00000332194	9606.ENSP00000308405	0	0	0	0.958	0.120	0.615	0.900	0.601	0.964
HIST2H2AC	H2AFZ	1851443	1847723	9606.ENSP00000332194	9606.ENSP00000296417	0	0	0	0.956	0.120	0.615	0.900	0.836	0.964
CDC42	MYH9	1849707	1842558	9606.ENSP00000314458	9606.ENSP00000216181	0	0	0	0	0.055	0.292	0.900	0.527	0.964
HIST2H2AA3	H2AFV	1854966	1849067	9606.ENSP00000358158	9606.ENSP00000308405	0	0	0	0.957	0.120	0.615	0.900	0.602	0.964
HIST2H2AA3	H2AFZ	1854966	1847723	9606.ENSP00000358158	9606.ENSP00000296417	0	0	0	0.956	0.120	0.615	0.900	0.835	0.964
RHOA	MYH2	1860210	1843761	9606.ENSP00000400175	9606.ENSP00000245503	0	0	0	0	0.055	0.292	0.900	0.529	0.964
HIST1H2AH	H2AFZ	1856690	1847723	9606.ENSP00000366679	9606.ENSP00000296417	0	0	0	0.955	0.120	0.615	0.900	0.470	0.963
DOCK7	CDC42	1852363	1849707	9606.ENSP00000340742	9606.ENSP00000314458	0	0	0	0	0.053	0.400	0.900	0.429	0.963
HIST1H2AH	H2AFV	1856690	1849067	9606.ENSP00000366679	9606.ENSP00000308405	0	0	0	0.956	0.120	0.615	0.900	0.452	0.963
CDC42	MYH2	1849707	1843761	9606.ENSP00000314458	9606.ENSP00000245503	0	0	0	0	0.055	0.292	0.900	0.512	0.962
