#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TUBB	TUBA1A	1852162	1848244	9606.ENSP00000339001	9606.ENSP00000301071	0	0	0	0.920	0.739	0.924	0.900	0.752	0.997
MYH11	ACTA2	1858384	1843003	9606.ENSP00000379616	9606.ENSP00000224784	0	0	0	0	0.439	0.749	0.900	0.859	0.997
GSTA2	GSTA5	1861460	1846914	9606.ENSP00000420168	9606.ENSP00000284562	0	0	0.527	0.987	0.870	0.437	0.900	0.864	0.992
MYH11	ACTG2	1858384	1847542	9606.ENSP00000379616	9606.ENSP00000295137	0	0	0	0	0.610	0.517	0.900	0.627	0.992
ACTN2	MYH6	1854402	1853324	9606.ENSP00000355537	9606.ENSP00000348634	0	0	0	0	0.169	0.804	0.900	0.517	0.991
SPTB	SPTA1	1857851	1854747	9606.ENSP00000374372	9606.ENSP00000357130	0	0	0	0.630	0.058	0.866	0.900	0.836	0.990
TUBB	TUBA1C	1852162	1848245	9606.ENSP00000339001	9606.ENSP00000301072	0	0	0	0.921	0.739	0.804	0.800	0.592	0.989
ACTN2	MYH3	1854402	1843076	9606.ENSP00000355537	9606.ENSP00000226209	0	0	0	0	0.169	0.804	0.900	0.414	0.989
MYH8	ACTN2	1858931	1854402	9606.ENSP00000384330	9606.ENSP00000355537	0	0	0	0	0.169	0.804	0.900	0.302	0.987
SUMO2	SUMO3	1860567	1851245	9606.ENSP00000405965	9606.ENSP00000330343	0	0	0	0.986	0	0.880	0.900	0.065	0.987
GSTA2	GSTA1	1861460	1851878	9606.ENSP00000420168	9606.ENSP00000335620	0	0	0.527	0.989	0.777	0.360	0.900	0.815	0.984
SPTAN1	SPTBN1	1855744	1853414	9606.ENSP00000361824	9606.ENSP00000349259	0	0	0	0.664	0.065	0.774	0.900	0.560	0.981
DDX58	IFIH1	1857110	1845381	9606.ENSP00000369213	9606.ENSP00000263642	0	0	0	0.769	0.758	0	0.900	0.926	0.980
