#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTN2	MYH6	1854402	1853324	9606.ENSP00000355537	9606.ENSP00000348634	0	0	0	0	0.169	0.804	0.900	0.517	0.991
SPTB	SPTA1	1857851	1854747	9606.ENSP00000374372	9606.ENSP00000357130	0	0	0	0.630	0.058	0.866	0.900	0.836	0.990
ACTN2	MYH3	1854402	1843076	9606.ENSP00000355537	9606.ENSP00000226209	0	0	0	0	0.169	0.804	0.900	0.414	0.989
MYH8	ACTN2	1858931	1854402	9606.ENSP00000384330	9606.ENSP00000355537	0	0	0	0	0.169	0.804	0.900	0.302	0.987
SPTAN1	SPTBN1	1855744	1853414	9606.ENSP00000361824	9606.ENSP00000349259	0	0	0	0.664	0.065	0.774	0.900	0.560	0.981
ACTN1	ACTN4	1858193	1844152	9606.ENSP00000377941	9606.ENSP00000252699	0	0	0	0.986	0.055	0.774	0.900	0.630	0.977
ACTN2	ACTN4	1854402	1844152	9606.ENSP00000355537	9606.ENSP00000252699	0	0	0	0.984	0	0.774	0.900	0.399	0.976
MYH10	MYH9	1846079	1842558	9606.ENSP00000269243	9606.ENSP00000216181	0	0	0	0.983	0	0.774	0.900	0.732	0.976
ACTN1	ACTN2	1858193	1854402	9606.ENSP00000377941	9606.ENSP00000355537	0	0	0	0.985	0	0.774	0.900	0.831	0.976
PHKA2	PHKB	1857119	1849630	9606.ENSP00000369274	9606.ENSP00000313504	0	0	0.525	0.795	0.123	0.639	0.900	0.868	0.974
PHKA1	PHKB	1855934	1849630	9606.ENSP00000362643	9606.ENSP00000313504	0	0	0.525	0.805	0.123	0.639	0.900	0.817	0.973
MYO5A	MYO9B	1858703	1858475	9606.ENSP00000382177	9606.ENSP00000380444	0	0	0	0.659	0.608	0.072	0.900	0.821	0.971
SERPINB4	SERPINB3	1852698	1846868	9606.ENSP00000343445	9606.ENSP00000283752	0	0	0.527	0.987	0.863	0.774	0	0.860	0.968
SPTAN1	SPTBN5	1855744	1849983	9606.ENSP00000361824	9606.ENSP00000317790	0	0	0	0.654	0.068	0.417	0.900	0.759	0.956
MYH8	MYH13	1858931	1844108	9606.ENSP00000384330	9606.ENSP00000252172	0	0	0	0.986	0.090	0.506	0.900	0.704	0.951
SPTAN1	SPTBN2	1855744	1849428	9606.ENSP00000361824	9606.ENSP00000311489	0	0	0	0.652	0.058	0.503	0.900	0.178	0.951
MYO9B	MYH9	1858475	1842558	9606.ENSP00000380444	9606.ENSP00000216181	0	0	0	0.650	0.417	0.072	0.900	0.439	0.949
SPTB	SPTAN1	1857851	1855744	9606.ENSP00000374372	9606.ENSP00000361824	0	0	0	0.656	0.058	0.360	0.900	0.610	0.947
MYO9A	MYO18B	1853287	1851736	9606.ENSP00000348349	9606.ENSP00000334563	0	0	0	0.611	0.377	0.072	0.900	0.442	0.947
MYO5A	MYO1C	1858703	1853902	9606.ENSP00000382177	9606.ENSP00000352834	0	0	0	0.796	0.052	0.397	0.900	0.639	0.945
MYO9B	MYH2	1858475	1843761	9606.ENSP00000380444	9606.ENSP00000245503	0	0	0	0.643	0.377	0.072	0.900	0.418	0.945
SPTA1	SPTBN1	1854747	1853414	9606.ENSP00000357130	9606.ENSP00000349259	0	0	0	0.636	0.058	0.285	0.900	0.385	0.936
SPTA1	SPTBN2	1854747	1849428	9606.ENSP00000357130	9606.ENSP00000311489	0	0	0	0.630	0.058	0.360	0.900	0.127	0.936
MYH14	MYH9	1845102	1842558	9606.ENSP00000262269	9606.ENSP00000216181	0	0	0	0.974	0	0.347	0.900	0.599	0.932
MYO5A	MYH9	1858703	1842558	9606.ENSP00000382177	9606.ENSP00000216181	0	0	0	0.709	0.135	0.180	0.900	0.357	0.930
MYO6	MYO3A	1855148	1845826	9606.ENSP00000358994	9606.ENSP00000265944	0	0	0	0.702	0.154	0	0.900	0.641	0.928
MYO1C	MYH9	1853902	1842558	9606.ENSP00000352834	9606.ENSP00000216181	0	0	0	0.777	0.053	0.183	0.900	0.507	0.925
SPTA1	SPTBN5	1854747	1849983	9606.ENSP00000357130	9606.ENSP00000317790	0	0	0	0.641	0	0	0.900	0.694	0.924
MYO6	MYO18B	1855148	1851736	9606.ENSP00000358994	9606.ENSP00000334563	0	0	0	0.620	0.159	0	0.900	0.403	0.924
MYO1C	MYH1	1853902	1843075	9606.ENSP00000352834	9606.ENSP00000226207	0	0	0	0.767	0.042	0.097	0.900	0.803	0.923
MYH2	MYH1	1843761	1843075	9606.ENSP00000245503	9606.ENSP00000226207	0	0	0	0.990	0.251	0	0.900	0.781	0.922
MYO6	MYO9A	1855148	1853287	9606.ENSP00000358994	9606.ENSP00000348349	0	0	0	0.718	0.154	0	0.900	0.385	0.920
SPTAN1	ACTN4	1855744	1844152	9606.ENSP00000361824	9606.ENSP00000252699	0	0	0	0.713	0.145	0.113	0.900	0.104	0.919
ACTN2	MYH7	1854402	1853180	9606.ENSP00000355537	9606.ENSP00000347507	0	0	0	0	0.237	0.804	0	0.486	0.917
SERPINB8	SERPINB2	1851336	1848072	9606.ENSP00000331368	9606.ENSP00000299502	0	0	0.527	0.932	0.115	0	0.900	0.758	0.915
MYO1C	MYH2	1853902	1843761	9606.ENSP00000352834	9606.ENSP00000245503	0	0	0	0.771	0.042	0.097	0.900	0.473	0.915
MYO1C	MYH6	1853902	1853324	9606.ENSP00000352834	9606.ENSP00000348634	0	0	0	0.782	0.042	0.097	0.900	0.418	0.914
MYO1C	MYH7B	1853902	1845230	9606.ENSP00000352834	9606.ENSP00000262873	0	0	0	0.771	0.042	0.097	0.900	0.426	0.914
MYO5A	MYH2	1858703	1843761	9606.ENSP00000382177	9606.ENSP00000245503	0	0	0	0.713	0.103	0	0.900	0.339	0.914
MYO1C	MYH7	1853902	1853180	9606.ENSP00000352834	9606.ENSP00000347507	0	0	0	0.783	0.042	0.097	0.900	0.402	0.913
MYH8	MYO1C	1858931	1853902	9606.ENSP00000384330	9606.ENSP00000352834	0	0	0	0.768	0.042	0.097	0.900	0.377	0.913
ACTN1	SPTAN1	1858193	1855744	9606.ENSP00000377941	9606.ENSP00000361824	0	0	0	0.710	0.053	0.143	0.900	0.091	0.913
MYO1C	MYH4	1853902	1844373	9606.ENSP00000352834	9606.ENSP00000255381	0	0	0	0.771	0.042	0.097	0.900	0.397	0.913
MYO1C	MYH3	1853902	1843076	9606.ENSP00000352834	9606.ENSP00000226209	0	0	0	0.775	0.042	0.097	0.900	0.377	0.913
MYO9B	MYO1C	1858475	1853902	9606.ENSP00000380444	9606.ENSP00000352834	0	0	0	0.724	0.053	0	0.900	0.483	0.913
MYO6	MYO1A	1855148	1848142	9606.ENSP00000358994	9606.ENSP00000300119	0	0	0	0.767	0	0	0.900	0.547	0.912
MYO9A	MYO1F	1853287	1852870	9606.ENSP00000348349	9606.ENSP00000344871	0	0	0	0.742	0.053	0	0.900	0.454	0.912
MYO1A	MYO3A	1848142	1845826	9606.ENSP00000300119	9606.ENSP00000265944	0	0	0	0.752	0.053	0	0.900	0.427	0.911
MYO1C	MYO9A	1853902	1853287	9606.ENSP00000352834	9606.ENSP00000348349	0	0	0	0.729	0.053	0	0.900	0.392	0.911
MYO6	MYO1C	1855148	1853902	9606.ENSP00000358994	9606.ENSP00000352834	0	0	0	0.778	0	0	0.900	0.548	0.911
SPTAN1	ACTN2	1855744	1854402	9606.ENSP00000361824	9606.ENSP00000355537	0	0	0	0.712	0.053	0.113	0.900	0.091	0.910
MYH6	MYH14	1853324	1845102	9606.ENSP00000348634	9606.ENSP00000262269	0	0	0	0.879	0	0	0.900	0.842	0.910
SPTA1	SPTBN4	1854747	1845343	9606.ENSP00000357130	9606.ENSP00000263373	0	0	0	0.617	0.049	0	0.900	0.249	0.909
MYO6	MYO1F	1855148	1852870	9606.ENSP00000358994	9606.ENSP00000344871	0	0	0	0.767	0	0	0.900	0.443	0.909
ACTN1	SPTBN1	1858193	1853414	9606.ENSP00000377941	9606.ENSP00000349259	0	0	0	0.818	0.053	0.098	0.900	0.149	0.909
MYO1C	MYO3A	1853902	1845826	9606.ENSP00000352834	9606.ENSP00000265944	0	0	0	0.768	0.053	0	0.900	0.393	0.909
MYH7	MYH2	1853180	1843761	9606.ENSP00000347507	9606.ENSP00000245503	0	0	0	0.986	0.129	0	0.900	0.538	0.909
MYH14	MYH2	1845102	1843761	9606.ENSP00000262269	9606.ENSP00000245503	0	0	0	0.880	0	0	0.900	0.685	0.908
MYH14	MYH1	1845102	1843075	9606.ENSP00000262269	9606.ENSP00000226207	0	0	0	0.877	0	0	0.900	0.700	0.908
MYH6	MYH7	1853324	1853180	9606.ENSP00000348634	9606.ENSP00000347507	0	0	0	0.989	0.118	0	0.900	0.780	0.908
MYO1C	MYO1F	1853902	1852870	9606.ENSP00000352834	9606.ENSP00000344871	0	0	0	0.866	0.057	0	0.900	0.505	0.908
MYH7	MYH14	1853180	1845102	9606.ENSP00000347507	9606.ENSP00000262269	0	0	0	0.881	0	0	0.900	0.758	0.908
SPTBN1	ACTN4	1853414	1844152	9606.ENSP00000349259	9606.ENSP00000252699	0	0	0	0.821	0.053	0.098	0.900	0.091	0.907
ACTN2	SPTBN1	1854402	1853414	9606.ENSP00000355537	9606.ENSP00000349259	0	0	0	0.819	0.053	0.098	0.900	0.091	0.907
MYH14	MYH13	1845102	1844108	9606.ENSP00000262269	9606.ENSP00000252172	0	0	0	0.866	0	0	0.900	0.417	0.905
