#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PSMA1	PSMB4	1861079	1847239	9606.ENSP00000414359	9606.ENSP00000290541	0	0	0	0	0.889	0.997	0.900	0.421	0.999
PSMB5	PSMB1	1854354	1845087	9606.ENSP00000355325	9606.ENSP00000262193	0	0	0	0.657	0.956	0.995	0.900	0.623	0.999
PSMA1	PSMA6	1861079	1844920	9606.ENSP00000414359	9606.ENSP00000261479	0	0	0	0.778	0.968	0.998	0.900	0.377	0.999
PSMB3	PSMA3	1843022	1842599	9606.ENSP00000225426	9606.ENSP00000216455	0	0	0	0	0.878	0.997	0.900	0.336	0.999
PSMB5	PSMA4	1854354	1842214	9606.ENSP00000355325	9606.ENSP00000044462	0	0	0	0	0.881	0.996	0.900	0.426	0.999
FGG	FGA	1851932	1848835	9606.ENSP00000336829	9606.ENSP00000306361	0	0	0	0.784	0.953	0.992	0.900	0.865	0.999
PSMA1	PSMA4	1861079	1842214	9606.ENSP00000414359	9606.ENSP00000044462	0	0	0.424	0.771	0.969	0.998	0.900	0.764	0.999
PSMA5	PSMA6	1846187	1844920	9606.ENSP00000271308	9606.ENSP00000261479	0	0	0.299	0.813	0.914	0.997	0.900	0.431	0.999
PSMA6	PSMA4	1844920	1842214	9606.ENSP00000261479	9606.ENSP00000044462	0	0	0.281	0.835	0.967	0.998	0.900	0.548	0.999
PSMB5	PSMA6	1854354	1844920	9606.ENSP00000355325	9606.ENSP00000261479	0	0	0	0	0.814	0.996	0.900	0.341	0.999
PSMB1	PSMB3	1845087	1843022	9606.ENSP00000262193	9606.ENSP00000225426	0	0	0.206	0.758	0.955	0.997	0.900	0.491	0.999
PSMA6	PSMB3	1844920	1843022	9606.ENSP00000261479	9606.ENSP00000225426	0	0	0	0	0.865	0.997	0.900	0.556	0.999
PSMB4	PSMB7	1847239	1844696	9606.ENSP00000290541	9606.ENSP00000259457	0	0	0	0	0.860	0.996	0.900	0.525	0.999
PSMB1	PSMA6	1845087	1844920	9606.ENSP00000262193	9606.ENSP00000261479	0	0	0	0	0.814	0.997	0.900	0.358	0.999
PSMA5	PSMB3	1846187	1843022	9606.ENSP00000271308	9606.ENSP00000225426	0	0	0	0	0.961	0.997	0.900	0.524	0.999
PSMB5	PSMB4	1854354	1847239	9606.ENSP00000355325	9606.ENSP00000290541	0	0	0	0	0.944	0.996	0.900	0.837	0.999
PSMB4	PSMA4	1847239	1842214	9606.ENSP00000290541	9606.ENSP00000044462	0	0	0	0	0.911	0.997	0.900	0.548	0.999
PSMA1	PSMA5	1861079	1846187	9606.ENSP00000414359	9606.ENSP00000271308	0	0	0.465	0.825	0.965	0.998	0.900	0.699	0.999
FGG	FGB	1851932	1848806	9606.ENSP00000336829	9606.ENSP00000306099	0	0	0	0.820	0.953	0.992	0.900	0.907	0.999
PSMA1	PSMA3	1861079	1842599	9606.ENSP00000414359	9606.ENSP00000216455	0	0	0.295	0.756	0.969	0.997	0.900	0.759	0.999
PSMB5	PSMB7	1854354	1844696	9606.ENSP00000355325	9606.ENSP00000259457	0	0	0.225	0.721	0.966	0.992	0.900	0.861	0.999
PSMB5	PSMA5	1854354	1846187	9606.ENSP00000355325	9606.ENSP00000271308	0	0	0.302	0	0.964	0.996	0.900	0.678	0.999
PSMB4	PSMA5	1847239	1846187	9606.ENSP00000290541	9606.ENSP00000271308	0	0	0	0	0.964	0.997	0.900	0.529	0.999
PSMA5	PSMA4	1846187	1842214	9606.ENSP00000271308	9606.ENSP00000044462	0	0	0.491	0.842	0.971	0.998	0.900	0.811	0.999
PSMA1	PSMB5	1861079	1854354	9606.ENSP00000414359	9606.ENSP00000355325	0	0	0	0	0.891	0.997	0.900	0.510	0.999
PSMB4	PSMB1	1847239	1845087	9606.ENSP00000290541	9606.ENSP00000262193	0	0	0	0	0.963	0.997	0.900	0.621	0.999
