#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTR2	ACTR3	1856793	1845311	9606.ENSP00000367220	9606.ENSP00000263238	0	0	0	0.815	0.661	0.997	0.900	0.935	0.999
PSMB8	PSMB7	1856198	1844696	9606.ENSP00000364016	9606.ENSP00000259457	0	0	0.244	0.698	0.950	0.964	0.900	0.857	0.999
PSMB5	PSMD1	1854354	1849179	9606.ENSP00000355325	9606.ENSP00000309474	0	0	0	0	0.325	0.993	0.900	0.457	0.999
PSMB5	PSMB7	1854354	1844696	9606.ENSP00000355325	9606.ENSP00000259457	0	0	0.225	0.721	0.966	0.992	0.900	0.861	0.999
PSMD1	PSMB7	1849179	1844696	9606.ENSP00000309474	9606.ENSP00000259457	0	0	0	0	0.349	0.996	0.900	0.283	0.999
KRAS	RAF1	1844404	1844086	9606.ENSP00000256078	9606.ENSP00000251849	0	0	0	0	0.097	0.783	0.900	0.957	0.999
PSMB8	PSMD1	1856198	1849179	9606.ENSP00000364016	9606.ENSP00000309474	0	0	0	0	0.254	0.970	0.900	0.325	0.998
PSMB11	PSMB7	1859133	1844696	9606.ENSP00000386212	9606.ENSP00000259457	0	0	0.277	0.722	0.949	0.743	0.900	0.875	0.998
ACTB	ACTG1	1853523	1851354	9606.ENSP00000349960	9606.ENSP00000331514	0	0	0	0.990	0.136	0.970	0.900	0.687	0.997
DDX58	IRF3	1857110	1849262	9606.ENSP00000369213	9606.ENSP00000310127	0	0	0	0	0.042	0.359	0.900	0.928	0.995
GNL3	GNL2	1859893	1855821	9606.ENSP00000395772	9606.ENSP00000362153	0	0	0	0.713	0.919	0.672	0.800	0.710	0.995
JAK2	STAT1	1857411	1854113	9606.ENSP00000371067	9606.ENSP00000354394	0	0	0	0	0.106	0.410	0.900	0.921	0.995
STAT1	JAK1	1854113	1852670	9606.ENSP00000354394	9606.ENSP00000343204	0	0	0	0	0.054	0.388	0.900	0.922	0.994
STAT2	TYK2	1849817	1845624	9606.ENSP00000315768	9606.ENSP00000264818	0	0	0	0	0.054	0.410	0.900	0.905	0.994
STAT1	TYK2	1854113	1845624	9606.ENSP00000354394	9606.ENSP00000264818	0	0	0	0	0.053	0.388	0.900	0.918	0.994
PTPRC	LCK	1854576	1852042	9606.ENSP00000356346	9606.ENSP00000337825	0	0	0	0	0.144	0.460	0.900	0.880	0.993
GNL2	GNL3L	1855821	1852119	9606.ENSP00000362153	9606.ENSP00000338573	0	0	0	0.720	0.871	0.672	0.800	0.741	0.992
CD8A	CD4	1846863	1842167	9606.ENSP00000283635	9606.ENSP00000011653	0	0	0	0	0.095	0.145	0.900	0.909	0.992
LCK	CD8A	1852042	1846863	9606.ENSP00000337825	9606.ENSP00000283635	0	0	0	0	0.183	0.870	0.900	0.338	0.992
TNF	RIPK1	1860103	1844726	9606.ENSP00000398698	9606.ENSP00000259808	0	0	0	0	0	0.780	0.900	0.703	0.992
JAK1	STAT2	1852670	1849817	9606.ENSP00000343204	9606.ENSP00000315768	0	0	0	0	0.090	0.410	0.900	0.876	0.992
DDX58	STAT1	1857110	1854113	9606.ENSP00000369213	9606.ENSP00000354394	0	0	0	0	0.638	0.360	0.900	0.660	0.991
PTBP1	HNRNPA2B1	1853438	1853084	9606.ENSP00000349428	9606.ENSP00000346694	0	0	0	0	0.072	0.774	0.900	0.631	0.991
MLKL	RIPK3	1849061	1842578	9606.ENSP00000308351	9606.ENSP00000216274	0	0	0	0.627	0.057	0.861	0.900	0.916	0.990
IFNB1	IRF3	1857184	1849262	9606.ENSP00000369581	9606.ENSP00000310127	0	0	0	0	0	0	0.900	0.908	0.990
ACTR2	ACTR3B	1856793	1844399	9606.ENSP00000367220	9606.ENSP00000256001	0	0	0	0.820	0.579	0.952	0.360	0.551	0.987
JAK2	STAT2	1857411	1849817	9606.ENSP00000371067	9606.ENSP00000315768	0	0	0	0	0.112	0.410	0.900	0.788	0.987
PTPRC	FYN	1854576	1853081	9606.ENSP00000356346	9606.ENSP00000346671	0	0	0	0	0.239	0.460	0.900	0.735	0.987
TLR3	RIPK1	1847791	1844726	9606.ENSP00000296795	9606.ENSP00000259808	0.050	0	0	0	0	0.658	0.900	0.633	0.986
STAT1	PDGFRB	1854113	1844996	9606.ENSP00000354394	9606.ENSP00000261799	0	0	0	0	0.046	0.632	0.900	0.598	0.984
PSMB11	PSMD1	1859133	1849179	9606.ENSP00000386212	9606.ENSP00000309474	0	0	0	0	0.254	0.740	0.900	0.281	0.984
MAP3K7	TLR3	1855005	1847791	9606.ENSP00000358335	9606.ENSP00000296795	0.050	0	0	0	0	0.805	0.900	0.240	0.984
IRF3	TLR3	1849262	1847791	9606.ENSP00000310127	9606.ENSP00000296795	0	0	0	0	0	0	0.900	0.842	0.983
TNF	MAP3K7	1860103	1855005	9606.ENSP00000398698	9606.ENSP00000358335	0	0	0	0	0	0.775	0.900	0.312	0.983
JAK3	STAT1	1859586	1854113	9606.ENSP00000391676	9606.ENSP00000354394	0	0	0	0	0.046	0.117	0.900	0.816	0.982
STAT2	IRF3	1849817	1849262	9606.ENSP00000315768	9606.ENSP00000310127	0	0	0	0	0.050	0	0.900	0.827	0.982
EPHA2	EPHA1	1853684	1846459	9606.ENSP00000351209	9606.ENSP00000275815	0	0	0	0.944	0.052	0.820	0.900	0.735	0.982
