#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RB1	CDK4	1845924	1844551	9606.ENSP00000267163	9606.ENSP00000257904	0	0	0	0	0.055	0.807	0.900	0.965	0.999
CDK1	CDC25C	1858283	1850370	9606.ENSP00000378699	9606.ENSP00000321656	0	0	0	0	0.614	0.779	0.900	0.956	0.999
CDK2	CDKN1A	1845906	1843736	9606.ENSP00000266970	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.960	0.999
CDK2	CDKN1B	1845906	1843169	9606.ENSP00000266970	9606.ENSP00000228872	0	0	0	0	0.053	0.965	0.900	0.957	0.999
E2F1	RB1	1852951	1845924	9606.ENSP00000345571	9606.ENSP00000267163	0	0	0	0	0.229	0.984	0.900	0.821	0.999
E2F2	RB1	1854335	1845924	9606.ENSP00000355249	9606.ENSP00000267163	0	0	0	0	0.229	0.923	0.900	0.821	0.998
TP53	CDKN1A	1846083	1843736	9606.ENSP00000269305	9606.ENSP00000244741	0	0	0	0	0	0.574	0.900	0.963	0.998
E2F4	RB1	1857021	1845924	9606.ENSP00000368686	9606.ENSP00000267163	0	0	0	0	0.229	0.783	0.900	0.916	0.998
CDK4	CDKN1A	1844551	1843736	9606.ENSP00000257904	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.911	0.998
RB1	E2F3	1845924	1845241	9606.ENSP00000267163	9606.ENSP00000262904	0	0	0	0	0.229	0.923	0.900	0.822	0.998
CDC25A	CDK2	1848560	1845906	9606.ENSP00000303706	9606.ENSP00000266970	0	0	0	0	0.188	0.779	0.900	0.933	0.998
RB1	CDK2	1845924	1845906	9606.ENSP00000267163	9606.ENSP00000266970	0	0	0	0	0.055	0.807	0.900	0.946	0.998
CDK4	CDKN1B	1844551	1843169	9606.ENSP00000257904	9606.ENSP00000228872	0	0	0	0	0	0.804	0.900	0.909	0.998
CDK1	CDC25A	1858283	1848560	9606.ENSP00000378699	9606.ENSP00000303706	0	0	0	0	0.364	0.779	0.900	0.900	0.998
TP53	CDK2	1846083	1845906	9606.ENSP00000269305	9606.ENSP00000266970	0	0	0	0	0.093	0.606	0.900	0.926	0.997
INADL	MPP5	1855419	1844964	9606.ENSP00000360200	9606.ENSP00000261681	0	0	0	0	0.052	0.432	0.900	0.962	0.997
CDK1	CDC25B	1858283	1843788	9606.ENSP00000378699	9606.ENSP00000245960	0	0	0	0	0.101	0.779	0.900	0.902	0.997
CDK1	CDKN1A	1858283	1843736	9606.ENSP00000378699	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.842	0.996
MYC	TP53	1856789	1846083	9606.ENSP00000367207	9606.ENSP00000269305	0	0	0	0	0.055	0.095	0.900	0.965	0.996
TP53	RB1	1846083	1845924	9606.ENSP00000269305	9606.ENSP00000267163	0	0	0	0	0	0.325	0.900	0.951	0.996
CDK6	CDKN1A	1845799	1843736	9606.ENSP00000265734	9606.ENSP00000244741	0	0	0	0	0	0.655	0.900	0.873	0.995
RB1	CDK6	1845924	1845799	9606.ENSP00000267163	9606.ENSP00000265734	0	0	0	0	0.055	0.456	0.900	0.917	0.995
CDK6	CDKN1B	1845799	1843169	9606.ENSP00000265734	9606.ENSP00000228872	0	0	0	0	0	0.650	0.900	0.890	0.995
CDK2	CDC25B	1845906	1843788	9606.ENSP00000266970	9606.ENSP00000245960	0	0	0	0	0.101	0.778	0.900	0.764	0.994
MYC	JUN	1856789	1855436	9606.ENSP00000367207	9606.ENSP00000360266	0	0	0	0	0.054	0.360	0.900	0.899	0.993
MYC	RB1	1856789	1845924	9606.ENSP00000367207	9606.ENSP00000267163	0	0	0	0	0	0.360	0.900	0.905	0.993
JUN	TP53	1855436	1846083	9606.ENSP00000360266	9606.ENSP00000269305	0	0	0	0	0	0.130	0.900	0.919	0.992
HDAC1	TP53	1855935	1846083	9606.ENSP00000362649	9606.ENSP00000269305	0	0	0	0	0.054	0.637	0.900	0.794	0.992
CDKN1C	CDK6	1860924	1845799	9606.ENSP00000411552	9606.ENSP00000265734	0	0	0	0	0	0.804	0.800	0.794	0.991
MYC	MYB	1856789	1852280	9606.ENSP00000367207	9606.ENSP00000339992	0	0	0	0	0.053	0.325	0.900	0.888	0.991
MYC	CDKN1A	1856789	1843736	9606.ENSP00000367207	9606.ENSP00000244741	0	0	0	0	0	0.359	0.900	0.883	0.991
CDK1	RB1	1858283	1845924	9606.ENSP00000378699	9606.ENSP00000267163	0	0	0	0	0.055	0.456	0.900	0.839	0.990
MYC	CDK4	1856789	1844551	9606.ENSP00000367207	9606.ENSP00000257904	0	0	0	0	0.054	0.360	0.900	0.862	0.990
MYC	CDKN1B	1856789	1843169	9606.ENSP00000367207	9606.ENSP00000228872	0	0	0	0	0	0.360	0.900	0.845	0.989
E2F4	CDK2	1857021	1845906	9606.ENSP00000368686	9606.ENSP00000266970	0	0	0	0	0.091	0.224	0.900	0.866	0.989
CDC25C	TP53	1850370	1846083	9606.ENSP00000321656	9606.ENSP00000269305	0	0	0	0	0.083	0.360	0.900	0.824	0.988
HDAC1	RB1	1855935	1845924	9606.ENSP00000362649	9606.ENSP00000267163	0	0	0	0	0.093	0.725	0.900	0.588	0.988
RB1	CDKN1A	1845924	1843736	9606.ENSP00000267163	9606.ENSP00000244741	0	0	0	0	0	0.336	0.900	0.827	0.987
CDC25A	CDK4	1848560	1844551	9606.ENSP00000303706	9606.ENSP00000257904	0	0	0	0	0.116	0.409	0.900	0.781	0.987
TP53	CDKN1B	1846083	1843169	9606.ENSP00000269305	9606.ENSP00000228872	0	0	0	0	0	0.062	0.900	0.867	0.986
HIPK2	TP53	1859047	1846083	9606.ENSP00000385571	9606.ENSP00000269305	0	0	0	0	0.053	0.407	0.900	0.766	0.985
CDC25A	CDK6	1848560	1845799	9606.ENSP00000303706	9606.ENSP00000265734	0	0	0	0	0.071	0.409	0.900	0.763	0.985
E2F4	CDK4	1857021	1844551	9606.ENSP00000368686	9606.ENSP00000257904	0	0	0	0	0.059	0.451	0.900	0.759	0.985
HDAC3	HDAC10	1848477	1842577	9606.ENSP00000302967	9606.ENSP00000216271	0	0	0.521	0.640	0.055	0.745	0.900	0.782	0.984
JUN	CDKN1A	1855436	1843736	9606.ENSP00000360266	9606.ENSP00000244741	0	0	0	0	0	0.324	0.900	0.791	0.984
JUN	PTGS2	1855436	1854602	9606.ENSP00000360266	9606.ENSP00000356438	0	0	0	0	0	0	0.900	0.847	0.984
E2F1	CDK2	1852951	1845906	9606.ENSP00000345571	9606.ENSP00000266970	0	0	0	0	0.105	0.452	0.900	0.694	0.983
CDK5	TP53	1861440	1846083	9606.ENSP00000419782	9606.ENSP00000269305	0	0	0	0	0.043	0.368	0.900	0.755	0.983
CDK3	CDK1	1860200	1858283	9606.ENSP00000400088	9606.ENSP00000378699	0	0	0.526	0.974	0.275	0.774	0.900	0.537	0.982
UBE2I	TP53	1850693	1846083	9606.ENSP00000324897	9606.ENSP00000269305	0	0	0	0	0.083	0.447	0.900	0.690	0.982
HDAC2	HDAC10	1861837	1842577	9606.ENSP00000430432	9606.ENSP00000216271	0	0	0.521	0.644	0.055	0.715	0.900	0.744	0.982
HDAC9	HDAC1	1860731	1855935	9606.ENSP00000408617	9606.ENSP00000362649	0	0	0	0.660	0.055	0.745	0.900	0.970	0.982
HDAC9	HDAC3	1860731	1848477	9606.ENSP00000408617	9606.ENSP00000302967	0	0	0	0.651	0.055	0.745	0.900	0.945	0.982
UBE2D1	UBE2B	1856011	1845728	9606.ENSP00000363019	9606.ENSP00000265339	0	0	0	0.926	0.137	0.790	0.900	0.742	0.981
HDAC3	HDAC4	1848477	1845573	9606.ENSP00000302967	9606.ENSP00000264606	0	0	0	0.651	0.055	0.745	0.900	0.847	0.981
E2F4	MYBL2	1857021	1842633	9606.ENSP00000368686	9606.ENSP00000217026	0	0	0	0	0.073	0.437	0.900	0.688	0.981
RB1	CDKN1B	1845924	1843169	9606.ENSP00000267163	9606.ENSP00000228872	0	0	0	0	0	0	0.900	0.824	0.981
