#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPS27L	RPS11	1851302	1846167	9606.ENSP00000331019	9606.ENSP00000270625	0	0	0	0	0.925	0.978	0.900	0.175	0.999
RPS20	RPL19	1861789	1843024	9606.ENSP00000429374	9606.ENSP00000225430	0	0	0	0	0.977	0.792	0.900	0.403	0.999
POLR2B	POLR2D	1849572	1846274	9606.ENSP00000312735	9606.ENSP00000272645	0	0	0	0	0.054	0.997	0.900	0.805	0.999
RPS29	RPS16	1858354	1844060	9606.ENSP00000379339	9606.ENSP00000251453	0.309	0	0	0	0.974	0.991	0.924	0.413	0.999
PSMB5	PSMB1	1854354	1845087	9606.ENSP00000355325	9606.ENSP00000262193	0	0	0	0.657	0.956	0.995	0.900	0.623	0.999
PSMD3	PSMB1	1845579	1845087	9606.ENSP00000264639	9606.ENSP00000262193	0	0	0	0	0.396	0.995	0.900	0.164	0.999
RPS29	RPSA	1858354	1853012	9606.ENSP00000379339	9606.ENSP00000346067	0.067	0	0	0	0.960	0.983	0.924	0.440	0.999
PSMB10	PSMA3	1853696	1842599	9606.ENSP00000351314	9606.ENSP00000216455	0	0	0	0	0.816	0.981	0.900	0.192	0.999
RPL18	RPL21	1862361	1853004	9606.ENSP00000447001	9606.ENSP00000346027	0.048	0	0	0	0.954	0.886	0.900	0.444	0.999
PSMB8	PSMD7	1856198	1842741	9606.ENSP00000364016	9606.ENSP00000219313	0	0	0	0	0.674	0.981	0.900	0.230	0.999
PSMB8	PSMD6	1856198	1847640	9606.ENSP00000364016	9606.ENSP00000295901	0	0	0	0	0.792	0.981	0.900	0.171	0.999
RPL3	RPS11	1852999	1846167	9606.ENSP00000346001	9606.ENSP00000270625	0.309	0	0	0	0.986	0.851	0.924	0.486	0.999
