#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HIST1H2BK	H2AFZ	1853439	1847723	9606.ENSP00000349430	9606.ENSP00000296417	0	0	0	0	0.739	0.966	0.900	0.533	0.999
HIST1H2AC	HIST1H2BD	1850346	1847163	9606.ENSP00000321389	9606.ENSP00000289316	0	0	0	0	0.968	0.531	0.900	0.648	0.999
HSPA5	HSP90B1	1850618	1848102	9606.ENSP00000324173	9606.ENSP00000299767	0	0	0	0	0.965	0.699	0.360	0.945	0.999
PSMD1	PSMB7	1849179	1844696	9606.ENSP00000309474	9606.ENSP00000259457	0	0	0	0	0.349	0.996	0.900	0.283	0.999
FGG	FGB	1851932	1848806	9606.ENSP00000336829	9606.ENSP00000306099	0	0	0	0.820	0.953	0.992	0.900	0.907	0.999
FGA	FGB	1848835	1848806	9606.ENSP00000306361	9606.ENSP00000306099	0	0	0	0.767	0.916	0.995	0.900	0.918	0.999
EGFR	EGF	1846445	1845705	9606.ENSP00000275493	9606.ENSP00000265171	0	0	0	0	0	0.875	0.900	0.978	0.999
HIST2H2BE	HIST1H2AB	1854962	1844723	9606.ENSP00000358151	9606.ENSP00000259791	0	0	0	0	0.859	0.986	0	0.535	0.999
HIST3H2BB	HIST1H2AB	1857956	1844723	9606.ENSP00000375736	9606.ENSP00000259791	0	0	0	0	0.859	0.984	0	0.635	0.999
NOS3	CALM2	1847875	1846243	9606.ENSP00000297494	9606.ENSP00000272298	0	0	0	0	0.050	0.999	0	0.923	0.999
JUN	FOS	1855436	1848822	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.522	0.952	0.900	0.990	0.999
PSMD4	PSMD1	1854905	1849179	9606.ENSP00000357879	9606.ENSP00000309474	0	0	0	0	0.301	0.997	0.900	0.547	0.999
MAP3K7	TRAF6	1855005	1852047	9606.ENSP00000358335	9606.ENSP00000337853	0	0	0	0	0.054	0.985	0.900	0.526	0.999
HIST1H2AA	HIST1H2BA	1847815	1846410	9606.ENSP00000297012	9606.ENSP00000274764	0	0	0	0	0.872	0.756	0.900	0.822	0.999
