#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTR2	ACTR3	1856793	1845311	9606.ENSP00000367220	9606.ENSP00000263238	0	0	0	0.815	0.661	0.997	0.900	0.935	0.999
ACTB	ACTG1	1853523	1851354	9606.ENSP00000349960	9606.ENSP00000331514	0	0	0	0.990	0.136	0.970	0.900	0.687	0.997
GNL3	GNL2	1859893	1855821	9606.ENSP00000395772	9606.ENSP00000362153	0	0	0	0.713	0.919	0.672	0.800	0.710	0.995
GNL2	GNL3L	1855821	1852119	9606.ENSP00000362153	9606.ENSP00000338573	0	0	0	0.720	0.871	0.672	0.800	0.741	0.992
MLKL	RIPK3	1849061	1842578	9606.ENSP00000308351	9606.ENSP00000216274	0	0	0	0.627	0.057	0.861	0.900	0.916	0.990
ACTR2	ACTR3B	1856793	1844399	9606.ENSP00000367220	9606.ENSP00000256001	0	0	0	0.820	0.579	0.952	0.360	0.551	0.987
IRAK4	IRAK1	1859507	1855149	9606.ENSP00000390651	9606.ENSP00000358997	0	0	0	0.768	0	0.780	0.900	0.919	0.982
EPHA2	EPHA1	1853684	1846459	9606.ENSP00000351209	9606.ENSP00000275815	0	0	0	0.944	0.052	0.820	0.900	0.735	0.982
SP100	PML	1852651	1845989	9606.ENSP00000343023	9606.ENSP00000268058	0	0	0	0	0.053	0.360	0.900	0.705	0.979
ACTL6A	ACTR8	1860014	1851935	9606.ENSP00000397552	9606.ENSP00000336842	0	0	0	0.626	0.055	0.768	0.900	0.382	0.979
IRAK4	IRAK2	1859507	1844439	9606.ENSP00000390651	9606.ENSP00000256458	0	0	0	0.713	0.051	0.734	0.900	0.866	0.979
PSMB8	PSMB5	1856198	1854354	9606.ENSP00000364016	9606.ENSP00000355325	0	0	0.527	0.965	0	0.774	0.900	0.760	0.977
ACTR1A	ACTR1B	1855133	1847158	9606.ENSP00000358921	9606.ENSP00000289228	0	0	0	0.989	0.053	0.774	0.900	0.817	0.977
LCK	ZAP70	1852042	1845655	9606.ENSP00000337825	9606.ENSP00000264972	0	0	0	0.768	0.443	0.446	0.900	0.942	0.973
IRAK4	IRAK3	1859507	1844868	9606.ENSP00000390651	9606.ENSP00000261233	0	0	0	0.732	0.109	0.616	0.900	0.710	0.969
LYN	SYK	1861765	1856371	9606.ENSP00000428924	9606.ENSP00000364898	0	0	0	0.726	0.254	0.493	0.900	0.922	0.969
ACTR2	ACTB	1856793	1853523	9606.ENSP00000367220	9606.ENSP00000349960	0	0	0	0.947	0.102	0.673	0.900	0.566	0.969
ACTL6A	ACTB	1860014	1853523	9606.ENSP00000397552	9606.ENSP00000349960	0	0	0	0.888	0.053	0.677	0.900	0.601	0.968
IRAK1	IRAK3	1855149	1844868	9606.ENSP00000358997	9606.ENSP00000261233	0	0	0	0.724	0	0.606	0.900	0.841	0.968
ACTG1	ACTR3	1851354	1845311	9606.ENSP00000331514	9606.ENSP00000263238	0	0	0	0.887	0.072	0.669	0.900	0.588	0.968
IRAK3	IRAK2	1844868	1844439	9606.ENSP00000261233	9606.ENSP00000256458	0	0	0	0.664	0.053	0.606	0.900	0.659	0.968
ACTB	ACTR3	1853523	1845311	9606.ENSP00000349960	9606.ENSP00000263238	0	0	0	0.887	0.061	0.669	0.900	0.578	0.968
IFNB1	TYK2	1857184	1845624	9606.ENSP00000369581	9606.ENSP00000264818	0	0	0	0	0	0	0.900	0.690	0.967
ZAP70	CSK	1845655	1842776	9606.ENSP00000264972	9606.ENSP00000220003	0	0	0	0.780	0.062	0.636	0.900	0.553	0.967
ACTR2	ACTG1	1856793	1851354	9606.ENSP00000367220	9606.ENSP00000331514	0	0	0	0.946	0.058	0.673	0.900	0.752	0.967
ACTR1A	ACTR10	1855133	1844284	9606.ENSP00000358921	9606.ENSP00000254286	0	0	0	0.676	0.066	0.938	0.360	0.406	0.965
EPHA6	SRC	1857844	1853652	9606.ENSP00000374323	9606.ENSP00000350941	0	0	0	0.765	0.054	0.646	0.900	0.117	0.964
ITK	LCK	1860098	1852042	9606.ENSP00000398655	9606.ENSP00000337825	0	0	0	0.871	0.434	0.360	0.900	0.781	0.964
HCK	FGR	1856392	1856028	9606.ENSP00000365012	9606.ENSP00000363115	0	0	0	0.961	0.651	0	0.900	0.823	0.964
ACTR1B	ACTR10	1847158	1844284	9606.ENSP00000289228	9606.ENSP00000254286	0	0	0	0.684	0.066	0.938	0.360	0.378	0.964
EPHA6	YES1	1857844	1850671	9606.ENSP00000374323	9606.ENSP00000324740	0	0	0	0.765	0.054	0.646	0.900	0.046	0.963
IRAK1	IRAK2	1855149	1844439	9606.ENSP00000358997	9606.ENSP00000256458	0	0	0	0.739	0	0.549	0.900	0.866	0.963
ACTB	ACTR8	1853523	1851935	9606.ENSP00000349960	9606.ENSP00000336842	0	0	0	0	0.074	0.537	0.900	0.255	0.963
FLT1	KDR	1846791	1845437	9606.ENSP00000282397	9606.ENSP00000263923	0	0	0	0.918	0.084	0.602	0.900	0.968	0.963
SYK	FGR	1856371	1856028	9606.ENSP00000364898	9606.ENSP00000363115	0	0	0	0.719	0.187	0.446	0.900	0.785	0.961
FYN	ZAP70	1853081	1845655	9606.ENSP00000346671	9606.ENSP00000264972	0	0	0	0.727	0.123	0.446	0.900	0.895	0.960
ACTR2	ACTR3C	1856793	1844101	9606.ENSP00000367220	9606.ENSP00000252071	0	0	0	0.803	0.579	0.850	0.360	0.508	0.960
SYK	LCK	1856371	1852042	9606.ENSP00000364898	9606.ENSP00000337825	0	0	0	0.750	0.052	0.493	0.900	0.868	0.959
SYK	SRC	1856371	1853652	9606.ENSP00000364898	9606.ENSP00000350941	0	0	0	0.715	0.053	0.446	0.900	0.909	0.957
SYK	FYN	1856371	1853081	9606.ENSP00000364898	9606.ENSP00000346671	0	0	0	0.726	0.088	0.446	0.900	0.800	0.957
ITK	FYN	1860098	1853081	9606.ENSP00000398655	9606.ENSP00000346671	0	0	0	0.858	0.241	0.420	0.900	0.595	0.956
SYK	BTK	1856371	1849039	9606.ENSP00000364898	9606.ENSP00000308176	0	0	0	0.686	0.072	0.414	0.900	0.864	0.956
JAK2	KIT	1857411	1847112	9606.ENSP00000371067	9606.ENSP00000288135	0	0	0	0.619	0	0.407	0.900	0.774	0.956
FYN	EPHA4	1853081	1846745	9606.ENSP00000346671	9606.ENSP00000281821	0	0	0	0.785	0.152	0.452	0.900	0.607	0.955
RIPK1	RIPK3	1844726	1842578	9606.ENSP00000259808	9606.ENSP00000216274	0	0	0	0.701	0	0.407	0.900	0.901	0.954
SRC	PDGFRB	1853652	1844996	9606.ENSP00000350941	9606.ENSP00000261799	0	0	0	0.672	0.052	0.380	0.900	0.842	0.953
SRC	KDR	1853652	1845437	9606.ENSP00000350941	9606.ENSP00000263923	0	0	0	0.675	0.052	0.380	0.900	0.823	0.953
EPHA6	FYN	1857844	1853081	9606.ENSP00000374323	9606.ENSP00000346671	0	0	0	0.760	0.054	0.541	0.900	0.069	0.953
