#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IKBKB	NFKB1	1861846	1843094	9606.ENSP00000430684	9606.ENSP00000226574	0	0	0	0	0.054	0.922	0.900	0.907	0.999
SUMO1	UBE2I	1857989	1850693	9606.ENSP00000376076	9606.ENSP00000324897	0	0	0	0	0.126	0.984	0.900	0.965	0.999
JUN	ATF3	1855436	1852803	9606.ENSP00000360266	9606.ENSP00000344352	0	0	0	0	0.478	0.848	0.900	0.818	0.998
PIDD	CRADD	1852039	1850946	9606.ENSP00000337797	9606.ENSP00000327647	0	0	0	0	0	0.866	0.900	0.891	0.998
IKBKB	NFKBIA	1861846	1842621	9606.ENSP00000430684	9606.ENSP00000216797	0	0	0	0	0.052	0.890	0.900	0.908	0.998
NFKB1	NFKBIA	1843094	1842621	9606.ENSP00000226574	9606.ENSP00000216797	0	0	0	0.783	0.220	0.949	0.900	0.972	0.996
IKBKB	NFKB2	1861846	1855147	9606.ENSP00000430684	9606.ENSP00000358983	0	0	0	0	0.053	0.829	0.900	0.826	0.996
CREB1	JUN	1859295	1855436	9606.ENSP00000387699	9606.ENSP00000360266	0	0	0	0	0	0.425	0.900	0.942	0.996
PIAS2	SUMO1	1863923	1857989	9606.ENSP00000465676	9606.ENSP00000376076	0	0	0	0	0	0.780	0.900	0.808	0.995
NFKB2	BCL3	1855147	1842291	9606.ENSP00000358983	9606.ENSP00000164227	0	0	0	0.725	0.180	0.904	0.900	0.746	0.993
NFKB1	BCL3	1843094	1842291	9606.ENSP00000226574	9606.ENSP00000164227	0	0	0	0.694	0.074	0.904	0.900	0.807	0.992
JUN	ATF2	1855436	1845482	9606.ENSP00000360266	9606.ENSP00000264110	0	0	0	0.632	0.096	0.848	0.900	0.853	0.989
ATF2	JUND	1845482	1844164	9606.ENSP00000264110	9606.ENSP00000252818	0	0	0	0.636	0.096	0.848	0.900	0.504	0.987
JUNB	ATF2	1848518	1845482	9606.ENSP00000303315	9606.ENSP00000264110	0	0	0	0.629	0.096	0.848	0.900	0.383	0.987
JUN	IL2	1855436	1843096	9606.ENSP00000360266	9606.ENSP00000226730	0	0	0	0	0	0.325	0.900	0.827	0.987
SUMO1	SP100	1857989	1852651	9606.ENSP00000376076	9606.ENSP00000343023	0	0	0	0	0	0.611	0.900	0.707	0.987
VEGFA	JUN	1855611	1855436	9606.ENSP00000361125	9606.ENSP00000360266	0	0	0	0	0	0.119	0.900	0.861	0.986
IKBKB	NFKBIB	1861846	1849588	9606.ENSP00000430684	9606.ENSP00000312988	0	0	0	0	0	0.422	0.900	0.774	0.985
HIST2H3A	EHMT2	1859040	1856323	9606.ENSP00000385479	9606.ENSP00000364687	0	0	0	0	0.058	0.690	0.900	0.526	0.984
NFKB2	NFKBIA	1855147	1842621	9606.ENSP00000358983	9606.ENSP00000216797	0	0	0	0.742	0.104	0.805	0.900	0.776	0.984
DDIT3	ATF2	1862449	1845482	9606.ENSP00000447803	9606.ENSP00000264110	0	0	0	0	0.046	0.628	0.900	0.599	0.983
NFKBIB	NFKBIA	1849588	1842621	9606.ENSP00000312988	9606.ENSP00000216797	0	0	0.418	0.751	0.053	0.774	0.900	0.799	0.983
CREB1	VEGFA	1859295	1855611	9606.ENSP00000387699	9606.ENSP00000361125	0	0	0	0	0	0.360	0.900	0.750	0.982
NFKBIB	NFKB1	1849588	1843094	9606.ENSP00000312988	9606.ENSP00000226574	0	0	0	0.679	0.055	0.774	0.900	0.774	0.982
HIST1H4F	CENPA	1856744	1851939	9606.ENSP00000366974	9606.ENSP00000336868	0	0	0	0	0.202	0.930	0	0.710	0.982
HIST1H4A	CENPA	1853925	1851939	9606.ENSP00000352980	9606.ENSP00000336868	0	0	0	0	0.202	0.930	0	0.710	0.982
HIST2H3A	SUV39H1	1859040	1856539	9606.ENSP00000385479	9606.ENSP00000365877	0	0	0	0	0.054	0.486	0.900	0.658	0.981
NFKB2	NFKBIB	1855147	1849588	9606.ENSP00000358983	9606.ENSP00000312988	0	0	0	0.698	0.055	0.774	0.900	0.730	0.981
CREB1	ATF2	1859295	1845482	9606.ENSP00000387699	9606.ENSP00000264110	0	0	0	0	0.138	0.437	0.900	0.661	0.981
CIITA	RFXANK	1849861	1848701	9606.ENSP00000316328	9606.ENSP00000305071	0	0	0	0	0	0.394	0.800	0.848	0.980
VPS28	HGS	1856669	1851318	9606.ENSP00000366565	9606.ENSP00000331201	0	0	0	0	0.052	0.182	0.900	0.780	0.980
